educationorganizationid,electronicmailaddress,electronicmailtypedescriptorid,studentusi,primaryemailaddressindicator,donotpublishindicator,createdate
"255901","xzpom.yaxhsjyv@example.com","853","105",,,"2020-11-13 14:17:29.218892"
"255901","gtwr@example.com","855","102",,,"2020-11-13 14:17:29.230500"
"255901","ifjklanz318@example.com","856","106",,,"2020-11-13 14:17:29.237325"
"255901","iyzfj76@example.com","853","107",,,"2020-11-13 14:17:29.242904"
"255901","pkufi.mcjgmunw@example.com","855","108",,,"2020-11-13 14:17:29.244045"
"255901","prqygpdz27@example.com","855","110",,,"2020-11-13 14:17:29.271128"
"255901","wkluh.tfntezzeq@example.com","854","111",,,"2020-11-13 14:17:29.270917"
"255901","rjpcdpl.pcww@example.com","853","113",,,"2020-11-13 14:17:29.295294"
"255901","ljjfis937@example.com","856","114",,,"2020-11-13 14:17:29.298927"
"255901","wshewvx.hyvnpxhlu@example.com","854","114",,,"2020-11-13 14:17:29.299653"
"255901","fcavjtwv20@example.com","856","116",,,"2020-11-13 14:17:29.302998"
"255901","edkuyj.ieoq@example.com","856","117",,,"2020-11-13 14:17:29.320944"
"255901","vmnleryi.brjlavkct@example.com","855","120",,,"2020-11-13 14:17:29.331999"
"255901","nfbak.yavri@example.com","854","124",,,"2020-11-13 14:17:29.358128"
"255901","elxzpkm17@example.com","856","128",,,"2020-11-13 14:17:29.386288"
"255901","efdfhsa.fsaq@example.com","853","130",,,"2020-11-13 14:17:29.403476"
"255901","ckdh65@example.com","856","132",,,"2020-11-13 14:17:29.411321"
"255901","cbush299@example.com","855","134",,,"2020-11-13 14:17:29.429415"
"255901","iynjfmu@example.com","856","136",,,"2020-11-13 14:17:29.437334"
"255901","ihjwc0@example.com","856","138",,,"2020-11-13 14:17:29.454904"
"255901","evvbin965@example.com","854","138",,,"2020-11-13 14:17:29.455578"
"255901","tfhfj@example.com","855","141",,,"2020-11-13 14:17:29.475004"
"255901","rdlexr.rxvzunvtc@example.com","853","145",,,"2020-11-13 14:17:29.504004"
"255901","bxszzxf002@example.com","856","147",,,"2020-11-13 14:17:29.512218"
"255901","iiukabzu414@example.com","853","147",,,"2020-11-13 14:17:29.512848"
"255901","jgmgp.cnljedcey@example.com","854","149",,,"2020-11-13 14:17:29.531494"
"255901","bphrvgcj2@example.com","855","152",,,"2020-11-13 14:17:29.548018"
"255901","rlccvnlp.qufmu@example.com","856","154",,,"2020-11-13 14:17:29.559193"
"255901","tqeuwl182@example.com","854","156",,,"2020-11-13 14:17:29.573547"
"255901","ospptzto.wcuzgcu@example.com","853","158",,,"2020-11-13 14:17:29.584154"
"255901","zmvk.xbqlsx@example.com","855","162",,,"2020-11-13 14:17:29.609856"
"255901","dsqgzw.hijiqjep@example.com","853","162",,,"2020-11-13 14:17:29.610517"
"255901","hhwwli73@example.com","853","164",,,"2020-11-13 14:17:29.855163"
"255901","awcx.vqok@example.com","856","167",,,"2020-11-13 14:17:29.880796"
"255901","txqe14@example.com","855","171",,,"2020-11-13 14:17:29.906094"
"255901","czloxeg.ymlhs@example.com","855","173",,,"2020-11-13 14:17:29.913427"
"255901","sekhav.zvtsdkzu@example.com","854","173",,,"2020-11-13 14:17:29.914048"
"255901","xkhgh05@example.com","856","179",,,"2020-11-13 14:17:29.942891"
"255901","feukzp35@example.com","854","179",,,"2020-11-13 14:17:29.943760"
"255901","ytjaaorz2@example.com","855","177",,,"2020-11-13 14:17:29.992467"
"255901","nqlwkv.ixuylpjud@example.com","853","177",,,"2020-11-13 14:17:29.993149"
"255901","bzyrbail49@example.com","856","184",,,"2020-11-13 14:17:30.039008"
"255901","rjqdsqmz6@example.com","854","184",,,"2020-11-13 14:17:30.039611"
"255901","tdzxrymm.myqwcwrz@example.com","854","189",,,"2020-11-13 14:17:30.062528"
"255901","sumqmj314@example.com","856","192",,,"2020-11-13 14:17:30.088648"
"255901","fykvt.wbgmct@example.com","853","192",,,"2020-11-13 14:17:30.089297"
"255901","vqjsftr.wzrfvfoetu@example.com","855","196",,,"2020-11-13 14:17:30.113372"
"255901","faoijdx.aocaurift@example.com","854","201",,,"2020-11-13 14:17:30.142439"
"255901","pddqkyel.gaztd@example.com","855","206",,,"2020-11-13 14:17:30.174275"
"255901","tfbg.tcqpggpo@example.com","854","206",,,"2020-11-13 14:17:30.174931"
"255901","tnmbq.yfedwt@example.com","855","209",,,"2020-11-13 14:17:30.197381"
"255901","rbtorgl.snznmndt@example.com","854","209",,,"2020-11-13 14:17:30.197994"
"255901","ifmmcps16@example.com","856","212",,,"2020-11-13 14:17:30.215066"
"255901","enjflo@example.com","856","214",,,"2020-11-13 14:17:30.225206"
"255901","ckmf@example.com","853","217",,,"2020-11-13 14:17:30.245990"
"255901","aquc28@example.com","853","219",,,"2020-11-13 14:17:30.263820"
"255901","btrye0@example.com","856","222",,,"2020-11-13 14:17:30.273354"
"255901","whgkp.sponu@example.com","853","224",,,"2020-11-13 14:17:30.295633"
"255901","nvhlgad989@example.com","855","226",,,"2020-11-13 14:17:30.304244"
"255901","kuyix@example.com","856","230",,,"2020-11-13 14:17:30.330380"
"255901","mnppen.ewqaiw@example.com","856","232",,,"2020-11-13 14:17:30.342996"
"255901","bnkyptno3@example.com","855","235",,,"2020-11-13 14:17:30.365514"
"255901","gzroviyx@example.com","856","238",,,"2020-11-13 14:17:30.385395"
"255901","rrnua.rctlmdh@example.com","856","240",,,"2020-11-13 14:17:30.398288"
"255901","cbkkdgbd.bhyrku@example.com","853","241",,,"2020-11-13 14:17:30.408133"
"255901","yuxp.docvnggsd@example.com","856","244",,,"2020-11-13 14:17:30.430480"
"255901","jfkh14@example.com","853","245",,,"2020-11-13 14:17:30.441590"
"255901","dspu.pghnakpe@example.com","853","248",,,"2020-11-13 14:17:30.464255"
"255901","ccwxeyio.zyglumir@example.com","856","251",,,"2020-11-13 14:17:30.473386"
"255901","xfmus.wssnyylqq@example.com","853","252",,,"2020-11-13 14:17:30.497904"
"255901","atjc@example.com","855","255",,,"2020-11-13 14:17:30.514874"
"255901","ytwj68@example.com","856","256",,,"2020-11-13 14:17:30.523327"
"255901","agvmrqbs.pfyxym@example.com","856","258",,,"2020-11-13 14:17:30.535399"
"255901","zfqbopwb20@example.com","853","258",,,"2020-11-13 14:17:30.536036"
"255901","rphcqe.ludjqfd@example.com","853","260",,,"2020-11-13 14:17:30.547441"
"255901","txcx.hgvj@example.com","855","262",,,"2020-11-13 14:17:30.566222"
"255901","deuvynp.erixq@example.com","854","262",,,"2020-11-13 14:17:30.566837"
"255901","lrjv13@example.com","853","267",,,"2020-11-13 14:17:30.588911"
"255901","bvzwfj9@example.com","856","273",,,"2020-11-13 14:17:30.638853"
"255901","viirla8@example.com","856","276",,,"2020-11-13 14:17:30.656959"
"255901","tvzrleu.fobgk@example.com","853","276",,,"2020-11-13 14:17:30.657796"
"255901","mgydsqf.heeojbk@example.com","856","281",,,"2020-11-13 14:17:30.690430"
"255901","rlqfbi76@example.com","854","284",,,"2020-11-13 14:17:30.711955"
"255901","rerscki740@example.com","853","286",,,"2020-11-13 14:17:30.730498"
"255901","spgitep590@example.com","853","288",,,"2020-11-13 14:17:30.744265"
"255901","fgpwgj.sdoz@example.com","855","291",,,"2020-11-13 14:17:30.761775"
"255901","iiepnfk01@example.com","856","294",,,"2020-11-13 14:17:30.783656"
"255901","yiur832@example.com","854","298",,,"2020-11-13 14:17:30.810001"
"255901","suzmw@example.com","854","300",,,"2020-11-13 14:17:30.818918"
"255901","mcoum.juuuhrzi@example.com","856","301",,,"2020-11-13 14:17:30.829434"
"255901","lgqkegk578@example.com","853","301",,,"2020-11-13 14:17:30.832657"
"255901","huaxsk7@example.com","854","303",,,"2020-11-13 14:17:30.840814"
"255901","zvrhv@example.com","854","306",,,"2020-11-13 14:17:30.859154"
"255901","ipzh663@example.com","856","308",,,"2020-11-13 14:17:30.869659"
"255901","jivnthor.tocsqup@example.com","853","308",,,"2020-11-13 14:17:30.870481"
"255901","giijazgq933@example.com","856","310",,,"2020-11-13 14:17:30.884150"
"255901","zuwcelzp129@example.com","853","312",,,"2020-11-13 14:17:30.899275"
"255901","aincndoh.zogw@example.com","856","314",,,"2020-11-13 14:17:30.911544"
"255901","zrobkmc453@example.com","853","316",,,"2020-11-13 14:17:30.925106"
"255901","irpss58@example.com","855","317",,,"2020-11-13 14:17:30.935936"
"255901","wzrr@example.com","856","322",,,"2020-11-13 14:17:30.970774"
"255901","vkxrtcf.orwpjcbz@example.com","853","328",,,"2020-11-13 14:17:31.005831"
"255901","vubbo9@example.com","855","333",,,"2020-11-13 14:17:31.040146"
"255901","ylaiottr54@example.com","855","337",,,"2020-11-13 14:17:31.062336"
"255901","yxjrpg.hmvl@example.com","854","338",,,"2020-11-13 14:17:31.075605"
"255901","ybfia.ayijixafy@example.com","853","341",,,"2020-11-13 14:17:31.088359"
"255901","ysibdl.pvdk@example.com","855","342",,,"2020-11-13 14:17:31.108949"
"255901","yvubcfcc.olekni@example.com","853","346",,,"2020-11-13 14:17:31.118971"
"255901","iayotw25@example.com","854","348",,,"2020-11-13 14:17:31.127383"
"255901","tzlocuyb.qsttuzhbh@example.com","856","349",,,"2020-11-13 14:17:31.137438"
"255901","gzcdj.cbcodjvx@example.com","856","352",,,"2020-11-13 14:17:31.154345"
"255901","wsowad42@example.com","856","354",,,"2020-11-13 14:17:31.172014"
"255901","cxgx.nuoytudb@example.com","854","356",,,"2020-11-13 14:17:31.185447"
"255901","ijouf86@example.com","854","361",,,"2020-11-13 14:17:31.214376"
"255901","riys242@example.com","854","368",,,"2020-11-13 14:17:31.260099"
"255901","hkxwrixz.agbmjfkhl@example.com","853","370",,,"2020-11-13 14:17:31.280891"
"255901","rgojfiup@example.com","855","374",,,"2020-11-13 14:17:31.309308"
"255901","zgmtidg.mruuqeshj@example.com","855","379",,,"2020-11-13 14:17:31.333051"
"255901","nnksf.ujfcnnmsnm@example.com","853","381",,,"2020-11-13 14:17:31.350579"
"255901","iogw17@example.com","856","118",,,"2020-11-13 14:17:29.323533"
"255901","wpqljh.jybgqnwzh@example.com","854","118",,,"2020-11-13 14:17:29.324401"
"255901","cbeaqz.jubnflz@example.com","856","123",,,"2020-11-13 14:17:29.351859"
"255901","avaha.gelgiayim@example.com","854","123",,,"2020-11-13 14:17:29.352480"
"255901","szrmrnid475@example.com","856","127",,,"2020-11-13 14:17:29.381269"
"255901","yalmvp48@example.com","856","131",,,"2020-11-13 14:17:29.406471"
"255901","zyfqjql516@example.com","856","140",,,"2020-11-13 14:17:29.463794"
"255901","ovshveuw398@example.com","853","140",,,"2020-11-13 14:17:29.464529"
"255901","alcts.ckfb@example.com","854","142",,,"2020-11-13 14:17:29.481626"
"255901","orqvsrta.pibx@example.com","854","144",,,"2020-11-13 14:17:29.495962"
"255901","ggusgot.hfkdakc@example.com","854","148",,,"2020-11-13 14:17:29.521171"
"255901","ivice453@example.com","856","151",,,"2020-11-13 14:17:29.538922"
"255901","qpjsol.xuemzzvs@example.com","854","153",,,"2020-11-13 14:17:29.558529"
"255901","jcsi.vyhulskewb@example.com","854","157",,,"2020-11-13 14:17:29.584210"
"255901","lopzv25@example.com","854","161",,,"2020-11-13 14:17:29.606617"
"255901","bbqzk701@example.com","856","165",,,"2020-11-13 14:17:29.855135"
"255901","kqhneay.xjfkmb@example.com","854","169",,,"2020-11-13 14:17:29.886871"
"255901","cspp.efyx@example.com","856","172",,,"2020-11-13 14:17:29.909380"
"255901","cprnz.xnijhb@example.com","854","172",,,"2020-11-13 14:17:29.910021"
"255901","liovioub02@example.com","854","174",,,"2020-11-13 14:17:29.930006"
"255901","pxft.oidkm@example.com","853","176",,,"2020-11-13 14:17:29.938644"
"255901","idhu.fjoteeyu@example.com","854","178",,,"2020-11-13 14:17:29.953011"
"255901","xfsl@example.com","855","182",,,"2020-11-13 14:17:29.976185"
"255901","tvxr018@example.com","853","180",,,"2020-11-13 14:17:29.992466"
"255901","awyp@example.com","855","187",,,"2020-11-13 14:17:30.038933"
"255901","ixukl.rsispmtna@example.com","854","188",,,"2020-11-13 14:17:30.061691"
"255901","itjzf.dzdysk@example.com","855","191",,,"2020-11-13 14:17:30.069290"
"255901","orlu.azxgtbda@example.com","856","195",,,"2020-11-13 14:17:30.097053"
"255901","vdnzxc103@example.com","854","199",,,"2020-11-13 14:17:30.126832"
"255901","asds.dpshnxn@example.com","856","200",,,"2020-11-13 14:17:30.137796"
"255901","uamkngzr684@example.com","856","203",,,"2020-11-13 14:17:30.160552"
"255901","shkr457@example.com","854","203",,,"2020-11-13 14:17:30.161249"
"255901","unou.mojtw@example.com","855","205",,,"2020-11-13 14:17:30.172690"
"255901","edij.xgfxawynue@example.com","855","210",,,"2020-11-13 14:17:30.199721"
"255901","inoktt04@example.com","854","210",,,"2020-11-13 14:17:30.200835"
"255901","bupgtbx.jvdhv@example.com","853","211",,,"2020-11-13 14:17:30.211567"
"255901","jqqlci488@example.com","855","213",,,"2020-11-13 14:17:30.222353"
"255901","irimx.fvqgv@example.com","853","218",,,"2020-11-13 14:17:30.248540"
"255901","dmcaypko25@example.com","855","220",,,"2020-11-13 14:17:30.268785"
"255901","gkspu@example.com","855","223",,,"2020-11-13 14:17:30.292251"
"255901","upwl.hpuzdvfb@example.com","855","225",,,"2020-11-13 14:17:30.304081"
"255901","ewuk5@example.com","854","227",,,"2020-11-13 14:17:30.316007"
"255901","ueqtxxb35@example.com","856","229",,,"2020-11-13 14:17:30.327897"
"255901","lvhr.codspnpnhu@example.com","854","231",,,"2020-11-13 14:17:30.340067"
"255901","qvjlbp.exvty@example.com","853","233",,,"2020-11-13 14:17:30.352540"
"255901","rbcjmx.vmlzfnjo@example.com","856","236",,,"2020-11-13 14:17:30.380110"
"255901","jagomez84@example.com","853","236",,,"2020-11-13 14:17:30.380837"
"255901","kowhv.awyxq@example.com","854","239",,,"2020-11-13 14:17:30.391331"
"255901","kvdjb.elgjq@example.com","856","243",,,"2020-11-13 14:17:30.412866"
"255901","rscyxw.rkcibwdod@example.com","853","246",,,"2020-11-13 14:17:30.437161"
"255901","rnhc.riipbd@example.com","855","247",,,"2020-11-13 14:17:30.445558"
"255901","cabimcy@example.com","856","250",,,"2020-11-13 14:17:30.469082"
"255901","dgifk57@example.com","853","253",,,"2020-11-13 14:17:30.506168"
"255901","rizcfzg@example.com","856","257",,,"2020-11-13 14:17:30.531019"
"255901","olnrtup.wwtqrravms@example.com","855","263",,,"2020-11-13 14:17:30.566466"
"255901","cmylac.qmicgeg@example.com","856","264",,,"2020-11-13 14:17:30.576062"
"255901","gtqdw.bqdzydmb@example.com","854","264",,,"2020-11-13 14:17:30.576760"
"255901","jvplhejv.ebvhaid@example.com","856","265",,,"2020-11-13 14:17:30.585047"
"255901","ubitt.sxfmzio@example.com","854","265",,,"2020-11-13 14:17:30.585805"
"255901","hqqqyld.nhfmcxeaak@example.com","855","266",,,"2020-11-13 14:17:30.593496"
"255901","iedsyl@example.com","853","266",,,"2020-11-13 14:17:30.594246"
"255901","rfny.qotqtsud@example.com","856","268",,,"2020-11-13 14:17:30.603861"
"255901","dzspvhm@example.com","853","268",,,"2020-11-13 14:17:30.604520"
"255901","bjduvn895@example.com","856","269",,,"2020-11-13 14:17:30.613793"
"255901","vfdtnbxq.ymaxnauqh@example.com","853","271",,,"2020-11-13 14:17:30.623785"
"255901","nwrrbzm.vvadyve@example.com","855","274",,,"2020-11-13 14:17:30.644568"
"255901","keyffgxa8@example.com","855","277",,,"2020-11-13 14:17:30.665400"
"255901","fgga053@example.com","853","279",,,"2020-11-13 14:17:30.678052"
"255901","vzasmq44@example.com","856","280",,,"2020-11-13 14:17:30.687752"
"255901","bdqq121@example.com","854","280",,,"2020-11-13 14:17:30.688421"
"255901","dgoihk.ipklivy@example.com","855","283",,,"2020-11-13 14:17:30.705100"
"255901","wpjcg.ncfkqepaxq@example.com","853","283",,,"2020-11-13 14:17:30.705881"
"255901","pakhqf@example.com","854","285",,,"2020-11-13 14:17:30.717618"
"255901","mopulbt@example.com","856","289",,,"2020-11-13 14:17:30.738832"
"255901","yfua.enattr@example.com","855","293",,,"2020-11-13 14:17:30.774800"
"255901","brenpr@example.com","854","296",,,"2020-11-13 14:17:30.793493"
"255901","wrsqd.vhadxatvn@example.com","855","297",,,"2020-11-13 14:17:30.802771"
"255901","yeswfb@example.com","856","299",,,"2020-11-13 14:17:30.814080"
"255901","jhord3@example.com","855","304",,,"2020-11-13 14:17:30.844022"
"255901","qrxivupl.cicvcjc@example.com","853","305",,,"2020-11-13 14:17:30.857098"
"255901","cnojyxsq.vjvodsl@example.com","855","307",,,"2020-11-13 14:17:30.867240"
"255901","dmfuxgux5@example.com","856","309",,,"2020-11-13 14:17:30.882917"
"255901","onud.lortfnya@example.com","855","311",,,"2020-11-13 14:17:30.893995"
"255901","npwyt@example.com","856","313",,,"2020-11-13 14:17:30.909886"
"255901","kgtrhnt9@example.com","854","313",,,"2020-11-13 14:17:30.910606"
"255901","tjxhty.nidyysku@example.com","854","315",,,"2020-11-13 14:17:30.920593"
"255901","zntpjwz.xtlpmbstww@example.com","855","320",,,"2020-11-13 14:17:30.946346"
"255901","wvntw.cofiq@example.com","854","323",,,"2020-11-13 14:17:30.969928"
"255901","bstok76@example.com","856","324",,,"2020-11-13 14:17:30.979494"
"255901","sthzhee.vfzzltmuh@example.com","853","325",,,"2020-11-13 14:17:30.987742"
"255901","ivihboua31@example.com","856","327",,,"2020-11-13 14:17:30.995842"
"255901","lrym.xjcvsxk@example.com","854","327",,,"2020-11-13 14:17:30.996635"
"255901","nurn.qtaq@example.com","855","330",,,"2020-11-13 14:17:31.016144"
"255901","rjbq@example.com","855","331",,,"2020-11-13 14:17:31.023764"
"255901","swjk.zgcbnhlk@example.com","854","332",,,"2020-11-13 14:17:31.032353"
"255901","cdtx.ksorscgrb@example.com","856","335",,,"2020-11-13 14:17:31.047924"
"255901","pzlegcpi.lhujcuyx@example.com","855","336",,,"2020-11-13 14:17:31.056961"
"255901","eehqjp838@example.com","856","340",,,"2020-11-13 14:17:31.063586"
"255901","civwmoyc.yvdb@example.com","856","339",,,"2020-11-13 14:17:31.084222"
"255901","arznft@example.com","855","343",,,"2020-11-13 14:17:31.092096"
"255901","zjhj.ljjypoqfmb@example.com","854","343",,,"2020-11-13 14:17:31.092776"
"255901","tbniwefb00@example.com","855","344",,,"2020-11-13 14:17:31.102105"
"255901","nybdhluo880@example.com","854","350",,,"2020-11-13 14:17:31.145589"
"255901","irfp702@example.com","856","355",,,"2020-11-13 14:17:31.180311"
"255901","gkuzgv.jxwerczh@example.com","853","360",,,"2020-11-13 14:17:31.208591"
"255901","amanwg.mnwsa@example.com","853","363",,,"2020-11-13 14:17:31.229841"
"255901","bhpitel916@example.com","855","365",,,"2020-11-13 14:17:31.242487"
"255901","hrysojoi.epcbkbryps@example.com","854","365",,,"2020-11-13 14:17:31.243180"
"255901","nonmze.xbfop@example.com","853","126",,,"2020-11-13 14:17:29.378873"
"255901","ansjqnip742@example.com","855","139",,,"2020-11-13 14:17:29.455140"
"255901","ylol@example.com","853","139",,,"2020-11-13 14:17:29.455892"
"255901","yfkndig.kevjp@example.com","855","143",,,"2020-11-13 14:17:29.481756"
"255901","ogpji0@example.com","854","143",,,"2020-11-13 14:17:29.483303"
"255901","zkhtde.ynoznlgq@example.com","856","160",,,"2020-11-13 14:17:29.602153"
"255901","pdpqmor.dvkumt@example.com","854","160",,,"2020-11-13 14:17:29.602973"
"255901","uttsmnlm.fqxkt@example.com","856","166",,,"2020-11-13 14:17:29.859463"
