credentialidentifier,stateofissuestateabbreviationdescriptorid,effectivedate,expirationdate,credentialfielddescriptorid,issuancedate,credentialtypedescriptorid,teachingcredentialdescriptorid,teachingcredentialbasisdescriptorid,namespace,discriminator,createdate,lastmodifieddate,id,changeversion
"564193583753","2222",,,"660","1996-11-03","673","2312",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.243448","2020-11-13 14:15:46.243274","f85481f2-5d02-4f74-a18d-98ea601a4d52","8853"
"494215583753","2222",,,"663","2003-01-07","674","2312",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.249151","2020-11-13 14:15:46.248999","1ba973b8-0878-4b63-a2d0-8fba400f465c","8854"
"294111583744","2222",,"1986-01-21","657","1985-01-21","671","2309",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.249180","2020-11-13 14:15:46.249000","a7a5a83b-9261-45a4-ae34-002bcf577886","8855"
"664141582745","2222",,"1986-08-29","667","1985-08-29","671","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.261585","2020-11-13 14:15:46.261427","a305beae-f737-440c-a131-f2c64e443236","8859"
"424111582753","2222",,"2003-05-09","657","2002-05-09","671","2312",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.262369","2020-11-13 14:15:46.262262","b9224c83-f94f-4ae0-8ba6-ae87fa4c594e","8860"
"444114582753","2222",,"2000-07-20","657","1999-07-21","672","2312",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.268776","2020-11-13 14:15:46.268625","66f11ccf-237c-4b21-86b8-71ed96bab684","8862"
"474162582752","2222",,,"662","2010-03-14","670","2317",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.271981","2020-11-13 14:15:46.271792","0fda8ce0-ef98-45a7-83e5-fb98c622b2a8","8865"
"454173584752","2222",,,"655","2008-12-27","673","2317",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.276866","2020-11-13 14:15:46.276734","83a9b467-6022-4825-9061-5d2ceab71037","8866"
"674145584741","2222",,,"667","2004-08-28","674","2306",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.280768","2020-11-13 14:15:46.280634","7ff01ed7-0aa0-40a3-b383-4babe2dc62ec","8868"
"264155584745","2222",,,"659","1998-10-16","674","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.282631","2020-11-13 14:15:46.282192","52019cb0-6b49-4090-9bbb-08833e6c4e4b","8869"
"204112584743","2222",,"2014-04-14","657","2013-04-14","670","2310",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.287253","2020-11-13 14:15:46.287074","b072aec4-093c-43c1-a87d-270a635968b1","8870"
"594164584741","2222",,,"662","1997-09-27","672","2306",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.290310","2020-11-13 14:15:46.290193","f789f535-a984-4d68-ac3d-79e8e0a27f75","8873"
"604173586742","2222",,"2008-06-11","655","2007-06-12","673","2307",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.296516","2020-11-13 14:15:46.296382","3dfe858f-d536-4974-aa09-3faf53f95ccd","8875"
"344192586753","2222",,,"660","2010-09-20","670","2312",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.298399","2020-11-13 14:15:46.298250","31e7304f-c1bf-4124-bee2-af2907bf6706","8877"
"434194587752","2222",,,"660","2008-05-10","672","2317",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.306524","2020-11-13 14:15:46.306339","21b4ee3d-8082-4e47-8270-288c178e7de5","8879"
"164155587745","2222",,"2006-05-26","659","2005-05-26","674","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.306657","2020-11-13 14:15:46.306541","776c66a4-b269-4302-9ebf-98ea4c080e49","8880"
"464162587741","2222",,,"662","2007-09-19","670","2306",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.313743","2020-11-13 14:15:46.313598","caf9e766-5ce8-4713-bed5-1e0306d11765","8882"
"404212589743","2222",,,"663","2002-01-10","670","2310",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.316637","2020-11-13 14:15:46.316501","912e872e-6b85-405a-9dd7-6c103fdcb8c9","8883"
"314172589745","2222",,,"655","1994-03-22","670","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.316764","2020-11-13 14:15:46.316661","882be0de-8479-40b8-9b29-20bc13bd0580","8884"
"684161587744","2222",,,"662","2012-01-25","671","2309",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.337414","2020-11-13 14:15:46.336953","4d6e8de8-4f32-4201-9aaa-b5357db23c8c","8894"
"284095576749","2222",,"2012-08-06","661","2010-02-18","674","2313",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.176590","2020-11-13 14:15:46.170084","bb8bfda2-afd2-4ba4-8f53-fa958518e114","8833"
"144173572745","2222",,,"655","1999-06-28","673","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.193615","2020-11-13 14:15:46.193384","62662a66-5490-425e-85cb-38be03183ba0","8837"
"274194583747","2222",,,"660","2003-04-04","672","2304",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.241458","2020-11-13 14:15:46.241326","482b043b-fd3c-481f-a7b1-3730dade1e96","8852"
"504122581749","2222",,"2003-05-16","665","2001-03-07","670","2313",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.249877","2020-11-13 14:15:46.249702","58345af4-6ebb-49a7-a5f6-8736f66286e4","8856"
"654184582743","2222",,,"656","1990-03-01","672","2310",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.263109","2020-11-13 14:15:46.263001","087797b2-c93a-4d90-8aa0-860082fd1ac3","8861"
"524204582749","2222",,,"664","2006-03-02","672","2313",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.270325","2020-11-13 14:15:46.270215","a17003cd-0e55-4f75-a7bb-1957f3ee96b9","8864"
"324112584746","2222",,,"657","1993-11-23","670","2311",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.288650","2020-11-13 14:15:46.288541","267e42a9-6b66-467d-b495-07eff3d2f53c","8872"
"574173586752","2222",,,"655","1984-07-05","673","2317",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.297423","2020-11-13 14:15:46.297260","d1451698-88f6-4331-ae51-a47f84f6c0aa","8876"
"534193586749","2222",,,"660","1999-03-01","673","2313",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.304798","2020-11-13 14:15:46.304652","d489febf-14df-49ea-b18e-608b9500e4f5","8878"
"174171575746","2222",,,"655","1980-12-31","671","2311",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.176697","2020-11-13 14:15:46.170090","7716d84c-692e-4eac-bd3a-4c2fe57e3671","8832"
"394191572746","2222",,,"660","1999-07-12","671","2311",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.192966","2020-11-13 14:15:46.192833","514c7c6f-40f8-4715-b072-b55d5d52ee7d","8836"
"214095572746","2222",,"1999-07-01","661","1998-07-01","674","2311",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.211000","2020-11-13 14:15:46.210870","18bb657b-b8b4-463b-b2c9-24bc20cf5cd8","8839"
"244114581743","2222",,"1999-11-07","657","1997-10-18","672","2310",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.252239","2020-11-13 14:15:46.252120","4a5e19b3-101b-43ea-9654-88e173a6f899","8857"
"194192582745","2222",,,"660","2011-09-21","670","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.260355","2020-11-13 14:15:46.260169","925db8ea-3cc3-47ea-909d-0f16f16d39dd","8858"
"544201582746","2222",,"2008-03-01","664","2007-03-02","671","2311",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.270204","2020-11-13 14:15:46.270065","c1b6011e-80be-4381-ae74-8396c7e9e3ca","8863"
"334191584741","2222",,"2011-10-05","660","2009-09-15","671","2306",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.278301","2020-11-13 14:15:46.278170","531bbb95-4c46-4b8b-b0e1-1c7a2868f491","8867"
"134115584744","2222",,,"657","1980-09-21","674","2309",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.287269","2020-11-13 14:15:46.287110","26a4a068-44fb-4486-8392-00614554ba96","8871"
"634165584745","2222",,,"662","1998-11-13","674","2308",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.296411","2020-11-13 14:15:46.296214","094739ef-4fe0-4a62-8103-945a014df3bc","8874"
"584115586749","2222",,"2003-01-10","657","2002-01-10","674","2313",,"uri://ed-fi.org","NULL","2020-11-13 14:15:46.307440","2020-11-13 14:15:46.307302","33cbfb5a-c8b3-49ff-b31b-ec7cd4a67bc0","8881"
