studentusi,personaltitleprefix,firstname,middlename,lastsurname,generationcodesuffix,maidenname,birthdate,birthcity,birthstateabbreviationdescriptorid,birthinternationalprovince,birthcountrydescriptorid,dateenteredus,multiplebirthstatus,birthsexdescriptorid,citizenshipstatusdescriptorid,personid,sourcesystemdescriptorid,studentuniqueid,discriminator,createdate,lastmodifieddate,id,changeversion
"19","Mrs","Meredith","Felicia","Lloyd",,,"2000-04-26",,,,,,,,,,,"604839","NULL","2020-11-13 14:16:01.811887","2020-11-13 14:16:01.811840","c96e70f7-89cf-42be-a7c3-d8dfc59d86ff","10854"
"21","Mr","Mathew",,"Ramirez",,,"1999-12-15",,,,,,,,,,,"604841","NULL","2020-11-13 14:16:01.817809","2020-11-13 14:16:01.817762","c616954b-2757-4ac2-ba6f-21fc1a421140","10856"
"23","Mr","Byron","Keith","Wilkerson",,,"1998-09-24",,,,,,,,,,,"604843","NULL","2020-11-13 14:16:01.829980","2020-11-13 14:16:01.829869","cf2fcf76-0fbf-455c-8ccb-785c72097acb","10858"
"25","Mr","Russell","Jacob","Mayer",,,"2003-08-14",,,,,,,,,,,"604845","NULL","2020-11-13 14:16:01.832804","2020-11-13 14:16:01.832767","15028dde-995e-4352-95f0-5b8c013c5e20","10860"
"27","Ms","Fannie",,"Medina",,,"1997-11-30",,,,,,,,,,,"604847","NULL","2020-11-13 14:16:01.842878","2020-11-13 14:16:01.842612","d30dc130-3cbb-4e9f-b347-4ea675555231","10862"
"29","Mrs","Jackie",,"Coffey",,,"2004-12-06",,,,,,,,,,,"604850","NULL","2020-11-13 14:16:01.846014","2020-11-13 14:16:01.845978","29a52d8e-4032-4cd1-9070-217ddde2ac0d","10864"
"31","Mr","Bill","Max","Wilson",,,"1998-07-13",,,,,,,,,,,"604851","NULL","2020-11-13 14:16:01.858426","2020-11-13 14:16:01.858062","0c5292d1-1360-41ae-b1ed-e7b89282b19d","10866"
"32","Ms","Kathie",,"Dillon",,,"2000-09-05",,,,,,,,,,,"604852","NULL","2020-11-13 14:16:01.859387","2020-11-13 14:16:01.859338","4b4d81c8-2ac4-49f6-a1c3-171e766517ea","10867"
"33","Mr","Casey","Edgar","Fischer",,,"2002-06-18",,,,,,,,,,,"604853","NULL","2020-11-13 14:16:01.861462","2020-11-13 14:16:01.861430","f3391c74-e649-4332-857d-324e875049f2","10868"
"35","Ms","Dianna","Kimberly","Lloyd",,,"2003-09-21",,,,,,,,,,,"604855","NULL","2020-11-13 14:16:01.868596","2020-11-13 14:16:01.868425","b91346a1-bc72-4787-963a-945fe8a44e73","10870"
"37","Mrs","Bridgette",,"Collins",,,"2002-11-23",,,,,,,,,,,"604857","NULL","2020-11-13 14:16:01.869982","2020-11-13 14:16:01.869939","4cbc5986-ea26-420d-9e94-58da54a1092c","10872"
"38","Ms","Leslie","Sadie","Nguyen",,,"1994-11-09",,,,,,,,,,,"604858","NULL","2020-11-13 14:16:01.874765","2020-11-13 14:16:01.874172","379024b3-6206-4fbc-8344-900fb623e22f","10873"
"39","Dr","Glen","Morris","Webster",,,"2002-02-18",,,,,,,,,,,"604859","NULL","2020-11-13 14:16:01.877812","2020-11-13 14:16:01.877732","cc32e555-b86e-4e52-85bb-9654dc57fee4","10874"
"41","Mrs","Katie","Lillie","Vincent",,,"1998-05-14",,,,,,,,,,,"604861","NULL","2020-11-13 14:16:01.879578","2020-11-13 14:16:01.879478","5914cd4e-516f-4b00-af58-c888559e889b","10876"
"42","Ms","Shari",,"Hill",,,"1994-09-07",,,,,,,,,,,"604862","NULL","2020-11-13 14:16:01.883205","2020-11-13 14:16:01.883086","11918bd9-a071-4008-ae4e-d63817ece415","10877"
"44","Mr","Justin",,"Zimmerman",,,"2005-09-12",,,,,,,,,,,"604864","NULL","2020-11-13 14:16:01.888290","2020-11-13 14:16:01.888239","7e0bdf0c-8441-4e84-b04c-e463a1f16485","10879"
"47","Mrs","Leslie",,"Patel",,,"1994-08-16",,,,,,,,,,,"604867","NULL","2020-11-13 14:16:01.896197","2020-11-13 14:16:01.895929","bf8a17c2-a0c7-4f2b-9e42-15ed671162dc","10882"
"49","Mr","Angel",,"Stevenson",,,"2003-06-18",,,,,,,,,,,"604869","NULL","2020-11-13 14:16:01.898130","2020-11-13 14:16:01.898083","747c602b-4b9a-42b4-a9f6-5814ecf4d271","10884"
"50","Mrs","Gwendolyn",,"Hickman",,,"2005-12-30",,,,,,,,,,,"604870","NULL","2020-11-13 14:16:01.901826","2020-11-13 14:16:01.901748","6878d2d1-9bc4-4672-a1e1-d80f6f6b3055","10885"
"51","Ms","Michelle","Ana","Novak",,,"2001-04-16",,,,,,,,,,,"604872","NULL","2020-11-13 14:16:01.905721","2020-11-13 14:16:01.905677","d6c4f26c-7688-4821-819c-d14714f08e36","10886"
"54","Mr","Kyle",,"Hughes",,,"1997-07-31",,,,,,,,,,,"604874","NULL","2020-11-13 14:16:01.911217","2020-11-13 14:16:01.911017","ba5b0571-a01d-4644-9a28-e964ec87637c","10889"
"56","Mrs","Danielle",,"Stewart",,,"2002-10-09",,,,,,,,,,,"604876","NULL","2020-11-13 14:16:01.915560","2020-11-13 14:16:01.915263","66cc18ea-0746-49a4-8770-c7ae23c55ac8","10891"
"57","Mr","Bill",,"Fields",,,"2003-11-15",,,,,,,,,,,"604877","NULL","2020-11-13 14:16:01.917922","2020-11-13 14:16:01.917871","9883d4dd-bfb5-47a2-918e-99eec0e9a207","10892"
"59","Mr","Johnnie",,"Cabrera","II",,"2004-09-09",,,,,,,,,,,"604879","NULL","2020-11-13 14:16:01.922873","2020-11-13 14:16:01.922847","bc57b415-e49d-47da-8b75-bd672705b794","10894"
"60","Mrs","Martha",,"Parrish",,,"1996-07-03",,,,,,,,,,,"604880","NULL","2020-11-13 14:16:01.924304","2020-11-13 14:16:01.924267","0a8ed0e8-ab19-49da-9a48-8273e4a44ce8","10895"
"62","Ms","Nola",,"Leon",,,"1999-11-24",,,,,,,,,,,"604882","NULL","2020-11-13 14:16:01.931021","2020-11-13 14:16:01.930735","7e0b4cdf-289d-4d7f-b581-9b921f97e14f","10897"
"65","Ms","Roberta",,"Valentine",,,"2001-11-10",,,,,,,,,,,"604885","NULL","2020-11-13 14:16:01.936962","2020-11-13 14:16:01.936919","0ee9a071-af30-4631-bc5e-76dd2f96ac2b","10900"
"66","Mrs","Heidi","Theresa","Wallace",,,"1996-09-09",,,,,,,,,,,"604887","NULL","2020-11-13 14:16:01.941026","2020-11-13 14:16:01.940981","47bf7eef-3d7b-4e64-bef4-85f3591577f7","10901"
"67","Ms","Courtney",,"Shaffer",,,"1995-04-09",,,,,,,,,,,"604886","NULL","2020-11-13 14:16:01.941010","2020-11-13 14:16:01.940817","cff68be0-65c9-40be-8b82-5a91eab1b18e","10902"
"69","Mr","Bobby","Jacob","Hendrix",,,"1997-09-03",,,,,,,,,,,"604889","NULL","2020-11-13 14:16:01.946990","2020-11-13 14:16:01.946950","87eda3f4-6d3c-4417-b977-04b0c2c57403","10904"
"71","Dr","Ivan","Jack","Molina",,,"2005-04-24",,,,,,,,,,,"604891","NULL","2020-11-13 14:16:01.956710","2020-11-13 14:16:01.955363","46240e4d-a8a4-4997-9902-0b4e43c90239","10906"
"73","Mrs","Alice",,"Higgins",,,"2005-09-08",,,,,,,,,,,"604893","NULL","2020-11-13 14:16:01.960634","2020-11-13 14:16:01.960148","f67c1554-a00f-4776-a0f5-c3a0b6c6c5ba","10908"
"75","Mrs","Amber",,"Armstrong",,,"2000-03-09",,,,,,,,,,,"604895","NULL","2020-11-13 14:16:01.967986","2020-11-13 14:16:01.965971","ac3b8493-cba9-416e-bf71-d23fde485edc","10910"
"76","Ms","Tommie",,"Mills",,,"1998-12-11",,,,,,,,,,,"604898","NULL","2020-11-13 14:16:02.205455","2020-11-13 14:16:02.205322","fb5914bb-8e32-4c25-85bc-14811dde0a36","10911"
"77","Ms","Jennie",,"Bishop",,,"1995-12-04",,,,,,,,,,,"604896","NULL","2020-11-13 14:16:02.205632","2020-11-13 14:16:02.205363","43cb8ab0-cc64-4bd7-90b9-0db51e53b9fc","10912"
"81","Ms","Susana",,"Monroe",,,"1995-07-24",,,,,,,,,,,"604901","NULL","2020-11-13 14:16:02.216693","2020-11-13 14:16:02.216562","bc43005f-7fd8-4ec9-98f7-29935d7493c2","10916"
"82","Mr","Brandon",,"Stout",,,"2003-05-25",,,,,,,,,,,"604902","NULL","2020-11-13 14:16:02.218167","2020-11-13 14:16:02.217686","f3275c30-ea5a-4297-99df-d899ececf2ab","10917"
"83","Ms","Alicia","Angela","Dennis",,,"2005-11-09",,,,,,,,,,,"604903","NULL","2020-11-13 14:16:02.229524","2020-11-13 14:16:02.228966","18e2baa3-bee6-49e5-9fc2-f4ad6f0e0368","10918"
"85","Mrs","Luz","Grace","Griffin",,,"1997-08-28",,,,,,,,,,,"604905","NULL","2020-11-13 14:16:02.232786","2020-11-13 14:16:02.232213","2e2a5ff7-1783-4eeb-9eaa-3e4b4cbe8d5b","10920"
"86","Mr","Jared",,"Novak",,,"2003-05-30",,,,,,,,,,,"604906","NULL","2020-11-13 14:16:02.237280","2020-11-13 14:16:02.236575","6c0a347f-ff1a-432f-a8ac-6dcb1f3308cb","10921"
"87","Mr","Jack",,"Berg",,,"1996-03-23",,,,,,,,,,,"604907","NULL","2020-11-13 14:16:02.239381","2020-11-13 14:16:02.239312","87224129-97db-44cd-8abd-0319f6cea27b","10922"
"88","Mr","Kyle",,"Jensen",,,"2000-12-23",,,,,,,,,,,"604908","NULL","2020-11-13 14:16:02.241923","2020-11-13 14:16:02.241746","0fb75796-e501-4120-987f-464c834e0c67","10923"
"90","Mr","Edward","Richard","Olsen",,,"1999-06-19",,,,,,,,,,,"604910","NULL","2020-11-13 14:16:02.248351","2020-11-13 14:16:02.248014","7a32ff91-5039-41c9-ac46-43506ea44054","10925"
"92","Mr","Terrance","Dwayne","Hartman",,,"1998-01-03",,,,,,,,,,,"604912","NULL","2020-11-13 14:16:02.252664","2020-11-13 14:16:02.252138","fbae4582-1418-40b7-a1d5-038d9c5e16fa","10927"
"94","Mr","Mitchell",,"Vang",,,"2000-07-09",,,,,,,,,,,"604914","NULL","2020-11-13 14:16:02.258336","2020-11-13 14:16:02.258122","33642288-3656-4282-aefc-44a0bc32edd2","10929"
"95","Mrs","Ebony",,"Butler",,,"1995-10-19",,,,,,,,,,,"604915","NULL","2020-11-13 14:16:02.261194","2020-11-13 14:16:02.260476","58800d03-c9ce-495e-9e99-5e4151baeaf1","10930"
"97","Mr","Dustin","Jimmie","Alexander",,,"2001-07-18",,,,,,,,,,,"604917","NULL","2020-11-13 14:16:02.270055","2020-11-13 14:16:02.268833","6b4df6bb-754c-42b0-8880-c933f88e57ab","10932"
"99","Mr","Dennis",,"Zhang",,,"1998-08-28",,,,,,,,,,,"604919","NULL","2020-11-13 14:16:02.274020","2020-11-13 14:16:02.273666","67e45a9b-b1f6-42e6-a6fc-386ff0b3d7cb","10934"
"100","Mrs","Carey",,"Barber",,,"2005-12-09",,,,,,,,,,,"604920","NULL","2020-11-13 14:16:02.276620","2020-11-13 14:16:02.276480","92a1f4a8-6e17-4adb-86bd-9086cffbe373","10935"
"101","Ms","Kenya","Kellie","Sweeney",,,"2000-06-07",,,,,,,,,,,"604921","NULL","2020-11-13 14:16:02.280421","2020-11-13 14:16:02.280330","f595bf27-a406-451a-9e12-9291fa6a3a1a","10936"
"103","Ms","Marcy",,"Ponce",,,"2002-11-09",,,,,,,,,,,"604923","NULL","2020-11-13 14:16:02.285763","2020-11-13 14:16:02.285181","0589d800-1c83-48ec-9080-09aa5f95c783","10938"
"106","Dr","Glen",,"Arellano",,,"1998-12-17",,,,,,,,,,,"604926","NULL","2020-11-13 14:16:02.291262","2020-11-13 14:16:02.291241","c21bead8-4116-46da-957d-c23ae207f1c1","10941"
"108","Mr","Richard",,"Kidd",,,"1996-10-11",,,,,,,,,,,"604928","NULL","2020-11-13 14:16:02.297164","2020-11-13 14:16:02.297063","91171fd3-abd2-4acb-aae0-74ddc55c2c57","10943"
"111","Mr","Charlie","Brett","Pena",,,"2003-04-22",,,,,,,,,,,"604931","NULL","2020-11-13 14:16:02.305557","2020-11-13 14:16:02.305442","a8a68d7f-f5cd-4811-af0c-67ca22b5f8a4","10946"
"113","Mr","Antonio",,"Combs",,,"1998-07-30",,,,,,,,,,,"604933","NULL","2020-11-13 14:16:02.308709","2020-11-13 14:16:02.308679","b539a52b-d817-4875-b4f2-a085e7505d78","10948"
"114","Ms","Allyson","Johanna","Curry",,,"1995-09-20",,,,,,,,,,,"604934","NULL","2020-11-13 14:16:02.309587","2020-11-13 14:16:02.309546","cd063988-77f8-4870-9c29-b998aef54738","10949"
"116","Ms","Tara","Helen","Beck",,,"2004-01-12",,,,,,,,,,,"604936","NULL","2020-11-13 14:16:02.318113","2020-11-13 14:16:02.317917","01d6e8dd-2d81-4689-b0f8-366d2a0bdce5","10951"
"4","Mrs","Traci",,"Mathews",,,"1999-01-13",,,,,,,,,,,"604824","NULL","2020-11-13 14:16:01.753020","2020-11-13 14:16:01.749766","1b90066c-08ef-4bc2-9bdb-b39cb0e905c3","10839"
"5","Dr","Vincent","Ruben","Orozco",,,"1995-04-01",,,,,,,,,,,"604827","NULL","2020-11-13 14:16:01.775829","2020-11-13 14:16:01.775737","3690b20a-68d3-4fba-b5b6-f6014491eb3a","10840"
"10","Mr","Peter","Wade","Pratt",,,"2004-04-13",,,,,,,,,,,"604831","NULL","2020-11-13 14:16:01.787684","2020-11-13 14:16:01.787625","12adf55a-8be0-4b40-9c40-28d41d7a50c9","10845"
"15","Ms","Allie","Allison","Combs",,,"1996-03-30",,,,,,,,,,,"604836","NULL","2020-11-13 14:16:01.800393","2020-11-13 14:16:01.800372","4ef2203a-5ad1-4a80-9780-58d841f29087","10850"
"20","Ms","Nora","Patricia","Blevins",,,"2004-12-21",,,,,,,,,,,"604840","NULL","2020-11-13 14:16:01.813855","2020-11-13 14:16:01.813773","d942279e-68e4-4f76-a074-18ab7c921d4c","10855"
"22","Mr","Frederick","Peter","Munoz",,,"2004-12-02",,,,,,,,,,,"604842","NULL","2020-11-13 14:16:01.818731","2020-11-13 14:16:01.818691","09ec3a17-4052-4e3a-866b-8d8230db3a51","10857"
"24","Mr","George",,"Velez",,,"2003-05-07",,,,,,,,,,,"604846","NULL","2020-11-13 14:16:01.832639","2020-11-13 14:16:01.832598","dba9927c-b8f7-4609-b729-805202bf4d4f","10859"
"30","Mr","Sam","Cory","Good","Jr",,"1994-07-17",,,,,,,,,,,"604848","NULL","2020-11-13 14:16:01.846046","2020-11-13 14:16:01.846007","0917e184-4dbf-4cea-94ad-88a366d6a8fc","10865"
"34","Mr","Javier",,"Gutierrez","II",,"2004-08-19",,,,,,,,,,,"604854","NULL","2020-11-13 14:16:01.864537","2020-11-13 14:16:01.864457","6f694993-b4c5-4919-91f4-d947f08f60d5","10869"
"36","Mr","Morris",,"Odonnell",,,"2001-11-04",,,,,,,,,,,"604856","NULL","2020-11-13 14:16:01.868606","2020-11-13 14:16:01.868553","a52df563-6c86-40b7-b50d-59f914c67847","10871"
"40","Mr","David","Ken","Beard",,,"2000-04-15",,,,,,,,,,,"604860","NULL","2020-11-13 14:16:01.879513","2020-11-13 14:16:01.879386","1a92b3fd-d1e2-48e0-9c50-45a3f171cea9","10875"
"43","Mrs","Mary",,"Archer",,,"1997-05-30",,,,,,,,,,,"604863","NULL","2020-11-13 14:16:01.886824","2020-11-13 14:16:01.886683","747a94fc-db4e-4119-8931-7213ea0e114d","10878"
"45","Mr","Jordan",,"Hampton",,,"2004-05-05",,,,,,,,,,,"604865","NULL","2020-11-13 14:16:01.889158","2020-11-13 14:16:01.889119","02012653-ac0b-4d2b-ad8d-9c3234d8887c","10880"
"46","Mrs","Peggy","Dorothea","Thomas",,,"2000-02-15",,,,,,,,,,,"604866","NULL","2020-11-13 14:16:01.892710","2020-11-13 14:16:01.892667","442a6e41-d070-4f98-b0b2-01298401ade8","10881"
"48","Mr","Hugh",,"Santana",,,"1996-10-19",,,,,,,,,,,"604868","NULL","2020-11-13 14:16:01.896391","2020-11-13 14:16:01.896168","04152fcc-731a-4d0b-9614-8606a8bbca71","10883"
"52","Mr","Gerald",,"Berry",,,"2001-02-08",,,,,,,,,,,"604871","NULL","2020-11-13 14:16:01.905716","2020-11-13 14:16:01.905670","062babd4-328f-49aa-a5bd-b720f490c4e4","10887"
"55","Mrs","Donna","Eloise","Gonzales",,,"2001-12-11",,,,,,,,,,,"604875","NULL","2020-11-13 14:16:01.914531","2020-11-13 14:16:01.914258","0a1538f0-164b-4735-a7ad-83dbf0d1951d","10890"
"58","Mr","Carlos",,"Myers",,,"2004-07-23",,,,,,,,,,,"604878","NULL","2020-11-13 14:16:01.921738","2020-11-13 14:16:01.921622","b5a4048f-0e5a-4f10-abee-c99863428ef8","10893"
"61","Mr","Leonard","Randall","Mata",,,"1997-08-07",,,,,,,,,,,"604881","NULL","2020-11-13 14:16:01.927454","2020-11-13 14:16:01.927414","acb348be-71a4-4f7a-9b53-d9e7bf0b914d","10896"
"63","Mr","Patrick",,"Murphy",,,"1995-05-04",,,,,,,,,,,"604883","NULL","2020-11-13 14:16:01.931795","2020-11-13 14:16:01.931738","a1b8a353-0a1e-4c17-87c6-67db5e61071f","10898"
"64","Mr","Ricardo",,"Best",,,"2000-10-24",,,,,,,,,,,"604884","NULL","2020-11-13 14:16:01.935422","2020-11-13 14:16:01.935211","bb8c0f98-a095-4ee5-ab48-539390824022","10899"
"70","Ms","Jeanine","Natasha","Werner",,,"2005-03-07",,,,,,,,,,,"604890","NULL","2020-11-13 14:16:01.951612","2020-11-13 14:16:01.951570","4ef0fb8a-1bbc-44de-92a8-2dc2456b8b3b","10905"
"72","Mrs","Katie","Lea","Camacho",,,"1996-12-19",,,,,,,,,,,"604892","NULL","2020-11-13 14:16:01.958453","2020-11-13 14:16:01.958394","adb15fc3-0916-4575-9d30-e963cf029fe7","10907"
"79","Mrs","Noreen",,"Page",,,"1996-01-23",,,,,,,,,,,"604897","NULL","2020-11-13 14:16:02.210988","2020-11-13 14:16:02.210929","3229d14e-614d-483d-bf0b-199e421fb3cb","10914"
"80","Mrs","Jacqueline",,"Romero",,,"2005-08-08",,,,,,,,,,,"604900","NULL","2020-11-13 14:16:02.216001","2020-11-13 14:16:02.215476","f65f3af6-170e-42f4-82df-ae4b212650fb","10915"
"84","Mr","Cody",,"Stafford",,,"2004-12-22",,,,,,,,,,,"604904","NULL","2020-11-13 14:16:02.230832","2020-11-13 14:16:02.230478","41f999ca-c447-41e4-bf14-e41cb1fdacd9","10919"
"89","Ms","Cindy",,"Mc Intyre",,,"2002-10-28",,,,,,,,,,,"604909","NULL","2020-11-13 14:16:02.246702","2020-11-13 14:16:02.246028","bc8cc2e3-e9fc-4d7e-8556-e7bfc747fac1","10924"
"91","Mrs","Tina","Alta","Pope",,,"2003-02-21",,,,,,,,,,,"604911","NULL","2020-11-13 14:16:02.250280","2020-11-13 14:16:02.250183","4b8828ff-0502-44a9-8513-a5e84922f859","10926"
"93","Mr","Joel",,"Horn",,,"2000-02-24",,,,,,,,,,,"604913","NULL","2020-11-13 14:16:02.258218","2020-11-13 14:16:02.257994","cf5e9920-f3e2-4b54-8406-d4c3990b6ed1","10928"
"96","Mrs","Charity",,"Compton",,,"1999-06-22",,,,,,,,,,,"604916","NULL","2020-11-13 14:16:02.265333","2020-11-13 14:16:02.265257","7b890371-655f-4e65-817b-599a22380659","10931"
"98","Mr","Peter","Ivan","Nash",,,"1997-01-18",,,,,,,,,,,"604918","NULL","2020-11-13 14:16:02.270399","2020-11-13 14:16:02.269890","95026899-7a2a-40db-8d25-d01dde0e8d96","10933"
"102","Mr","Darryl","Everett","Franco",,,"2005-12-04",,,,,,,,,,,"604922","NULL","2020-11-13 14:16:02.281994","2020-11-13 14:16:02.281973","97a9dc97-17a9-4628-9967-886b14a7a9b2","10937"
"104","Mr","Roland",,"Hill",,,"1995-12-24",,,,,,,,,,,"604924","NULL","2020-11-13 14:16:02.286010","2020-11-13 14:16:02.285965","0826e662-ae8b-47ca-984d-0159c055e00d","10939"
"107","Mr","Larry",,"Mahoney",,,"1997-03-30",,,,,,,,,,,"604927","NULL","2020-11-13 14:16:02.296660","2020-11-13 14:16:02.296122","95fb52ef-ac08-4552-9b29-6f2450ea8029","10942"
"110","Mr","Alberto",,"Richards",,,"1998-04-21",,,,,,,,,,,"604930","NULL","2020-11-13 14:16:02.300722","2020-11-13 14:16:02.300688","440edaf1-fb86-430a-9781-1688d0a0be00","10945"
"112","Mrs","Janine",,"Schmidt",,,"2004-04-08",,,,,,,,,,,"604932","NULL","2020-11-13 14:16:02.307593","2020-11-13 14:16:02.307555","13646630-dfb9-43b9-879b-d9da30a02903","10947"
"115","Mrs","Paula",,"West",,,"1995-04-15",,,,,,,,,,,"604935","NULL","2020-11-13 14:16:02.314670","2020-11-13 14:16:02.314628","1c327e45-d308-4cc6-b389-c6f0b3b4615c","10950"
"117","Ms","Callie",,"Stokes",,,"2003-09-13",,,,,,,,,,,"604937","NULL","2020-11-13 14:16:02.319642","2020-11-13 14:16:02.319262","1278d770-2617-4987-b4c0-2f9748772186","10952"
"118","Mr","Roland",,"Phillips",,,"1997-10-30",,,,,,,,,,,"604938","NULL","2020-11-13 14:16:02.320090","2020-11-13 14:16:02.320063","a4b5cd7b-f814-4701-b8af-08de55e3367d","10953"
"120","Mr","Terrance","Jorge","Rivers",,,"1997-09-21",,,,,,,,,,,"604940","NULL","2020-11-13 14:16:02.327530","2020-11-13 14:16:02.327367","ae7d75fa-9b61-4040-b32b-12404a0f39e0","10955"
"122","Mr","Chester","Samuel","Maldonado",,,"2002-07-26",,,,,,,,,,,"604942","NULL","2020-11-13 14:16:02.330163","2020-11-13 14:16:02.330104","95a4ba23-fdae-4abc-8a5a-bd1a455a9eb1","10957"
"124","Mr","Micheal","Gary","Shepherd",,,"2004-11-20",,,,,,,,,,,"604944","NULL","2020-11-13 14:16:02.336605","2020-11-13 14:16:02.336578","e7995e94-a1c6-4202-a416-1f8544f1050e","10959"
"125","Mr","Ronald",,"Vega",,,"2003-06-15",,,,,,,,,,,"604945","NULL","2020-11-13 14:16:02.337921","2020-11-13 14:16:02.337829","c4e41b3f-6c39-4340-bb46-5c1c55f399dd","10960"
"127","Mr","Nathan",,"Sanchez",,,"1994-10-30",,,,,,,,,,,"604947","NULL","2020-11-13 14:16:02.344089","2020-11-13 14:16:02.344000","3bab1357-bffb-468a-86e8-58b96251c41d","10962"
"129","Mrs","Trina","Chasity","Meyer",,,"2002-02-08",,,,,,,,,,,"604949","NULL","2020-11-13 14:16:02.347346","2020-11-13 14:16:02.347237","f189aa85-8f51-4f43-94f4-f4f7f3e015f0","10964"
"130","Mrs","Ana",,"Sanders",,,"2000-12-26",,,,,,,,,"604950","2092","604950","NULL","2020-11-13 14:16:02.351364","2020-11-13 14:16:02.351100","a7198fe7-5058-4497-8a29-0435d5f13a42","10965"
"133","Dr","Lonnie","Mike","Alexander",,,"2005-08-01",,,,,,,,,,,"604953","NULL","2020-11-13 14:16:02.358764","2020-11-13 14:16:02.358726","d0ecb933-536c-4ffa-bc4b-5b20094f54c1","10968"
"135","Mr","Jeffery","Harry","Huffman",,,"1994-04-04",,,,,,,,,,,"604955","NULL","2020-11-13 14:16:02.367198","2020-11-13 14:16:02.367132","bec9d05d-234d-44e7-a5cc-2c4c18dabf31","10970"
"137","Mr","Alan",,"Fritz",,,"1995-03-24",,,,,,,,,,,"604957","NULL","2020-11-13 14:16:02.367985","2020-11-13 14:16:02.367944","6c647e08-d101-437d-9edf-7af8f21badf7","10972"
"138","Dr","Harry","Casey","Flores",,,"2001-11-23",,,,,,,,,,,"604958","NULL","2020-11-13 14:16:02.375353","2020-11-13 14:16:02.375247","c9aff2f1-270d-4238-9675-553f852eb551","10973"
"141","Mrs","Ginger","Kristie","Gamble",,,"1999-10-06",,,,,,,,,,,"604961","NULL","2020-11-13 14:16:02.378487","2020-11-13 14:16:02.378382","ce8911f8-6458-4fd0-bf0d-e02843748f7e","10976"
"143","Mrs","Bobbie","Sally","Avila",,,"2004-03-23",,,,,,,,,,,"604963","NULL","2020-11-13 14:16:02.391794","2020-11-13 14:16:02.391754","6cbb380f-03b2-45d9-8d3b-c4715e2b687b","10978"
"144","Mr","Marc","Andy","Glass",,,"1998-03-14",,,,,,,,,,,"604964","NULL","2020-11-13 14:16:02.392003","2020-11-13 14:16:02.391933","48365aa2-cca7-4680-8c93-86f7da85488b","10979"
"150","Ms","Natalia","Eugenia","Becker",,,"2003-08-02",,,,,,,,,,,"604970","NULL","2020-11-13 14:16:02.408633","2020-11-13 14:16:02.408610","86995590-4c3d-44b1-8ec8-5402b243a320","10985"
