staffusi,personaltitleprefix,firstname,middlename,lastsurname,generationcodesuffix,maidenname,sexdescriptorid,birthdate,hispaniclatinoethnicity,oldethnicitydescriptorid,citizenshipstatusdescriptorid,highestcompletedlevelofeducationdescriptorid,yearsofpriorprofessionalexperience,yearsofpriorteachingexperience,loginid,highlyqualifiedteacher,personid,sourcesystemdescriptorid,staffuniqueid,discriminator,createdate,lastmodifieddate,id,changeversion
"16",,"Gene",,"Macias",,,"2090","1959-04-30","false",,,"1588","24.00","36.00","gmacias","false",,,"207220","NULL","2020-11-13 14:16:01.252251","2020-11-13 14:16:01.252212","30d9dc51-efc8-4505-b936-19fcb7e53760","10783"
"17",,"Anitra","Debbie","Snyder",,,"2091","1984-05-05","false",,,"1589","7.00","27.00","asnyder","false",,,"207226","NULL","2020-11-13 14:16:01.280168","2020-11-13 14:16:01.280080","fb5348f3-cdb7-4dd0-b43d-5f0371870796","10784"
"18",,"Priscilla",,"Kane",,,"2091","1985-11-27","false",,,"1591","7.00","25.00","pkane","false",,,"207223","NULL","2020-11-13 14:16:01.280726","2020-11-13 14:16:01.280662","463e13a1-68b4-41ad-b49e-35640d9d97ee","10785"
"19",,"Lakesha","Lucy","Salas",,,"2091","1953-08-15","true",,,"1592","16.00","11.00","lsalas","false",,,"207224","NULL","2020-11-13 14:16:01.280781","2020-11-13 14:16:01.280726","c3f27326-f47f-4921-8c9e-bf48e99e8691","10786"
"20",,"Earnest",,"Buck",,,"2090","1969-09-13","true",,,"1592","39.00","20.00","ebuck","false",,,"207219","NULL","2020-11-13 14:16:01.283025","2020-11-13 14:16:01.282925","e7558642-9560-4610-bdd5-c6c4edbc07f5","10787"
"21",,"Meredith","Jacquelyn","Whitaker",,,"2091","1964-08-16","true",,,"1589","38.00","27.00","mwhitaker","false",,,"207229","NULL","2020-11-13 14:16:01.308097","2020-11-13 14:16:01.307789","48405f1c-81c1-4154-84fb-6552977855de","10788"
"22",,"Alexander",,"Kim",,,"2090","1953-08-09","true",,,"1589","37.00","28.00","akim","false",,,"207230","NULL","2020-11-13 14:16:01.308540","2020-11-13 14:16:01.308444","bcadbe01-3357-4249-a1fe-3b33c540228d","10789"
"23",,"Eric",,"Cherry",,,"2090","1965-09-14","false",,,"1589","25.00","40.00","echerry","false",,,"207228","NULL","2020-11-13 14:16:01.310563","2020-11-13 14:16:01.310511","333cc4c7-6c50-490e-94dc-6735a180dd3e","10790"
"24",,"Debra","Vicky","Rocha",,,"2091","1970-06-02","false",,,"1588","40.00","5.00","drocha","false","207227","2092","207227","NULL","2020-11-13 14:16:01.313521","2020-11-13 14:16:01.313458","2fcd57b3-43bd-4da5-801b-9a3d02a7667f","10791"
"25",,"Lauren",,"Key",,,"2091","1973-12-09","false",,,"1592","35.00","23.00","lkey","false",,,"207231","NULL","2020-11-13 14:16:01.331150","2020-11-13 14:16:01.331070","92f35c5b-276a-4bf2-8510-0ce783089317","10792"
"26",,"Maribel",,"Mckinney",,,"2091","1975-11-17","false",,,"1591","24.00","9.00","mmckinney","true",,,"207234","NULL","2020-11-13 14:16:01.333109","2020-11-13 14:16:01.333026","7cf6adb8-6f72-4f4b-959d-5f1efbff06c0","10793"
"27",,"Bryant",,"Gomez",,,"2090","1980-03-26","false",,,"1588","3.00","31.00","bgomez","false",,,"207233","NULL","2020-11-13 14:16:01.333578","2020-11-13 14:16:01.333464","fd63ab3c-c955-4486-a72f-0a5633fc57f2","10794"
"28",,"Janet","Annette","Reid",,,"2091","1985-07-04","false",,,"1589","19.00","40.00","jreid","true",,,"207232","NULL","2020-11-13 14:16:01.343337","2020-11-13 14:16:01.343204","aacb7cb2-3c5b-4e28-8284-037c07945046","10795"
"29",,"Jose",,"Lutz",,,"2090","1957-09-05","true",,,"1588","5.00","25.00","jlutz","false",,,"207235","NULL","2020-11-13 14:16:01.355160","2020-11-13 14:16:01.354766","ff709b9c-082e-4700-8d8a-6156bb77732c","10796"
"30",,"Linda","Stephanie","Dean",,,"2091","1969-10-30","true",,,"1588","8.00","3.00","ldean","true",,,"207236","NULL","2020-11-13 14:16:01.356130","2020-11-13 14:16:01.356050","d4d4bc02-67e9-4308-bae4-3d1a2e6222ec","10797"
"31",,"Danielle",,"Erickson",,,"2091","1966-11-04","true",,,"1589","17.00","25.00","derickson","true",,,"207238","NULL","2020-11-13 14:16:01.359236","2020-11-13 14:16:01.358985","77aa548a-2e91-421a-9713-9a98b93fc1df","10798"
"32",,"Ruby",,"Crawford",,,"2091","1966-07-08","false",,,"1592","19.00","18.00","rcrawford","false",,,"207237","NULL","2020-11-13 14:16:01.382465","2020-11-13 14:16:01.382304","56f38700-35fd-45e8-accc-b4675520bafd","10799"
"33",,"Amie","Tony","Knapp",,,"2090","1983-05-05","false",,,"1588","23.00","19.00","aknapp","true",,,"207240","NULL","2020-11-13 14:16:01.382707","2020-11-13 14:16:01.382651","5bb31055-8e3f-414c-84ec-ad7f2e9a3237","10800"
"34",,"Christina",,"Bishop",,,"2091","1982-04-30","false",,,"1588","9.00","28.00","cbishop","true",,,"207239","NULL","2020-11-13 14:16:01.382663","2020-11-13 14:16:01.382569","6cc10240-1855-4093-8b42-2ba1e3160d14","10801"
"35",,"Edwin","Herman","Cordova",,,"2090","1986-11-02","true",,,"1588","9.00","31.00","ecordova","true",,,"207241","NULL","2020-11-13 14:16:01.389177","2020-11-13 14:16:01.389006","bf780096-4518-4845-9fbd-bfbbbb27599d","10802"
"36",,"Leah",,"Mcgrath",,,"2091","1986-01-23","false",,,"1591","24.00","32.00","lmcgrath","false",,,"207242","NULL","2020-11-13 14:16:01.405820","2020-11-13 14:16:01.405658","c4024193-1262-48fb-9991-32a1d4a6c7e9","10803"
"37",,"Kerri",,"Stokes",,,"2091","1984-11-03","true",,,"1588","12.00","39.00","kstokes","true",,,"207245","NULL","2020-11-13 14:16:01.406087","2020-11-13 14:16:01.405758","8e1b40fa-afef-4902-8ec2-83f0d8590316","10804"
"38",,"Ashley",,"Best",,,"2091","1956-05-12","true",,,"1592","38.00","38.00","abest","true",,,"207244","NULL","2020-11-13 14:16:01.407430","2020-11-13 14:16:01.407213","8a19786c-db19-42b7-9085-d933a64f62ef","10805"
"39",,"Karin","Angela","Marks",,,"2091","1972-02-24","false",,,"1589","25.00","22.00","kmarks","true",,,"207250","NULL","2020-11-13 14:16:01.412131","2020-11-13 14:16:01.412067","ac153ff7-0520-494c-a137-edd3b26313c0","10806"
"40",,"Marjorie",,"Hinton",,,"2091","1974-08-25","true",,,"1592","18.00","2.00","mhinton","false",,,"207243","NULL","2020-11-13 14:16:01.431040","2020-11-13 14:16:01.430957","0ac37e6a-c914-47fd-b5b7-3cf65e79a24b","10807"
"41",,"Melisa","Loren","Giles",,,"2091","1985-08-03","true",,,"1588","24.00","40.00","mgiles","false",,,"207252","NULL","2020-11-13 14:16:01.435851","2020-11-13 14:16:01.435769","e3465c1b-1337-42d5-92ef-1e56b660a7f2","10808"
"42",,"Chadwick","Sam","Garner",,,"2090","1977-01-25","false",,,"1592","5.00","9.00","cgarner","true",,,"207246","NULL","2020-11-13 14:16:01.436504","2020-11-13 14:16:01.436356","7c910d66-64ff-4184-aef7-af8b89df2dae","10809"
"43",,"Raul","Jose","Larsen",,,"2090","1980-12-23","true",,,"1589","12.00","5.00","rlarsen","false",,,"207251","NULL","2020-11-13 14:16:01.444813","2020-11-13 14:16:01.443613","24947f9e-0992-4368-b4e1-84292c023738","10810"
"44",,"Esther","Wendy","Hartman",,,"2091","1967-04-10","true",,,"1592","3.00","4.00","egallegos","true","207253","2092","207253","NULL","2020-11-13 14:16:01.457554","2020-11-13 14:16:01.457480","e4adcd29-3b2e-4795-9b78-55b966f8f158","10811"
"45",,"Gerard","Bill","Sexton",,,"2090","1981-08-11","true",,,"1591","35.00","36.00","gsexton","true",,,"207255","NULL","2020-11-13 14:16:01.459508","2020-11-13 14:16:01.459430","854d8a4b-1f94-4e6c-973f-54a24f3730d8","10812"
"46",,"Julius","Marcos","Barrera",,,"2090","1980-05-03","true",,,"1589","13.00","1.00","jbarrera","true",,,"207257","NULL","2020-11-13 14:16:01.459834","2020-11-13 14:16:01.459679","bc6523cd-6c44-4c30-b527-64f25d804fae","10813"
"47",,"Bradley",,"Shaffer",,,"2090","1982-10-27","true",,,"1589","2.00","35.00","bshaffer","true",,,"207256","NULL","2020-11-13 14:16:01.470816","2020-11-13 14:16:01.470749","621d61ad-6a89-4fca-909b-724b1786cf29","10814"
"48",,"Ismael",,"Stafford",,,"2090","1978-05-29","false",,,"1588","18.00","24.00","istafford","true",,,"207258","NULL","2020-11-13 14:16:01.485603","2020-11-13 14:16:01.485519","7afa95d0-a66d-48ce-92c7-24e10629f1b5","10815"
"49",,"Angelique","Z","Avila",,,"2091","1983-08-12","true",,,"1588","2.00","16.00","aavila","true",,,"207254","NULL","2020-11-13 14:16:01.485988","2020-11-13 14:16:01.485901","3854fab6-c20e-4845-a8b7-4159f9413ce6","10816"
"50",,"Josephine","Marissa","Stephens",,,"2091","1953-12-07","true",,,"1592","15.00","38.00","jstephens","false",,,"207259","NULL","2020-11-13 14:16:01.493350","2020-11-13 14:16:01.493219","c64f379b-0661-4248-8781-5418a7e3ee13","10817"
"51",,"Forrest",,"Foster",,,"2090","1975-10-30","true",,,"1592","35.00","26.00","ffoster","false",,,"207260","NULL","2020-11-13 14:16:01.499463","2020-11-13 14:16:01.499330","f6e1287c-7283-423e-9274-5e728556c727","10818"
"52",,"Naomi",,"Zavala",,,"2091","1985-04-24","false",,,"1591","35.00","6.00","nzavala","true",,,"207261","NULL","2020-11-13 14:16:01.508834","2020-11-13 14:16:01.508752","45fec575-f55d-4d33-9a0e-a8cf5e81b478","10819"
"53",,"Roger",,"Tucker",,,"2090","1983-08-01","true",,,"1589","1.00","6.00","rtucker","true","207269","2092","207269","NULL","2020-11-13 14:16:01.511828","2020-11-13 14:16:01.511745","04a3a111-d9cf-424f-8206-d5fa7f3d2cac","10820"
"54",,"Jenna",,"Graham",,,"2091","1985-05-03","true",,,"1589","27.00","10.00","jgraham","false",,,"207262","NULL","2020-11-13 14:16:01.518826","2020-11-13 14:16:01.518654","44f9f0d4-13d4-4c91-9513-6e168c5108be","10821"
"55",,"Kelley","Heidi","Christian",,,"2091","1968-11-01","false",,,"1592","13.00","17.00","kchristian","false",,,"207270","NULL","2020-11-13 14:16:01.525328","2020-11-13 14:16:01.525221","b0b8f7bc-da24-499e-a21e-9316a235d006","10822"
"59",,"Jon","Austin","Kaiser",,,"2090","1970-05-12","true",,,"1588","23.00","31.00","jkaiser","false",,,"207274","NULL","2020-11-13 14:16:01.554810","2020-11-13 14:16:01.554690","d3e650ac-5c79-45e7-9a7c-4d7e3ab4c20e","10826"
"65",,"Mark",,"Woods",,,"2090","1962-10-14","false",,,"1592","35.00","27.00","mwoods","false","207279","2092","207279","NULL","2020-11-13 14:16:01.592677","2020-11-13 14:16:01.592204","5c501f25-1b9f-4dfb-9a20-05d76613a237","10832"
"66",,"Mike","Dexter","Villa",,,"2090","1958-04-13","false",,,"1588","26.00","20.00","mvilla","true",,,"207281","NULL","2020-11-13 14:16:01.599253","2020-11-13 14:16:01.598846","a1130f32-1a4e-4760-84bd-f020d8015bfd","10833"
"68",,"Kisha",,"Kelly",,,"2091","1984-09-08","true",,,"1588","2.00","12.00","kkelly","true",,,"207282","NULL","2020-11-13 14:16:01.628534","2020-11-13 14:16:01.622270","5e1a50c9-6e17-45e1-bad0-f85f3943e16d","10835"
"56",,"Sara","Stacy","Preston",,,"2091","1969-06-18","false",,,"1591","23.00","27.00","spreston","false",,,"207268","NULL","2020-11-13 14:16:01.542205","2020-11-13 14:16:01.541611","5ae75b34-3d55-453d-a12e-82551397cdd9","10823"
"61",,"Darrin","Paul","Gallegos",,,"2090","1967-05-14","true",,,"1592","1.00","6.00","dgallegos","true",,,"207276","NULL","2020-11-13 14:16:01.567735","2020-11-13 14:16:01.567666","75ab7310-15cb-4132-8ed3-9ca8785d711d","10828"
"57",,"Russell",,"Gomez",,,"2090","1957-02-17","false",,,"1589","27.00","16.00","rgomez","true",,,"207272","NULL","2020-11-13 14:16:01.542212","2020-11-13 14:16:01.542139","942904f1-821c-4e39-86d7-565eb99fc188","10824"
"64",,"Dewayne","David","Hickman",,,"2090","1967-07-18","true",,,"1592","8.00","13.00","dhickman","false",,,"207278","NULL","2020-11-13 14:16:01.590460","2020-11-13 14:16:01.590341","800b57b9-911a-4d9f-83ce-308f2ec9cce8","10831"
"58",,"Trent","Mark","Newton",,,"2090","1954-09-02","true",,,"1592","5.00","23.00","tnewton","false",,,"207271","NULL","2020-11-13 14:16:01.548085","2020-11-13 14:16:01.548014","cb3bd4a6-b73b-40a1-84e0-e8b139db41af","10825"
"60",,"Charlie","Floyd","Conley",,,"2090","1980-01-25","true",,,"1591","5.00","13.00","cconley","true",,,"207273","NULL","2020-11-13 14:16:01.567751","2020-11-13 14:16:01.567660","0922d695-f8d7-4ac7-9d6f-a0b1a4fcc4a6","10827"
"62",,"David",,"Young",,,"2090","1982-03-12","true",,,"1588","2.00","16.00","dyoung","false",,,"207277","NULL","2020-11-13 14:16:01.573574","2020-11-13 14:16:01.573398","9b15c7ba-d370-4441-a3fa-aa397826336c","10829"
"63",,"Seth",,"Weeks",,,"2090","1971-06-28","true",,,"1588","30.00","1.00","sweeks","false","605362","2092","207275","NULL","2020-11-13 14:16:01.582043","2020-11-13 14:16:01.580899","4349b99f-28a4-4596-bfaa-b25990af92f5","10830"
"67",,"Patricia",,"Moran",,,"2091","1977-04-12","false",,,"1591","11.00","12.00","pmoran","false",,,"207280","NULL","2020-11-13 14:16:01.613655","2020-11-13 14:16:01.613168","368e4c25-187f-4e78-923e-bacb082cb583","10834"
