educationorganizationid,studentusi,telephonenumber,telephonenumbertypedescriptorid,orderofpriority,textmessagecapabilityindicator,donotpublishindicator,createdate
"255901","153","(950) 244 1039","2322","1",,,"2020-11-13 14:17:29.560128"
"255901","157","(950) 034 8126","2326",,,,"2020-11-13 14:17:29.586556"
"255901","157","(950) 084 5103","2328","1",,,"2020-11-13 14:17:29.587357"
"255901","161","(950) 938 1439","2323",,,,"2020-11-13 14:17:29.608370"
"255901","161","(950) 235 4231","2322","1",,,"2020-11-13 14:17:29.609053"
"255901","165","(950) 016 4517","2326","1",,,"2020-11-13 14:17:29.857042"
"255901","165","(950) 014 0881","2328",,,,"2020-11-13 14:17:29.857722"
"255901","169","(950) 482 8256","2322",,,,"2020-11-13 14:17:29.890490"
"255901","169","(950) 219 6480","2326","1",,,"2020-11-13 14:17:29.891258"
"255901","172","(950) 839 7278","2328","1",,,"2020-11-13 14:17:29.913320"
"255901","174","(950) 013 4644","2322","1",,,"2020-11-13 14:17:29.931681"
"255901","176","(950) 505 7054","2322",,,,"2020-11-13 14:17:29.940462"
"255901","176","(950) 658 3970","2328","1",,,"2020-11-13 14:17:29.941262"
"255901","178","(950) 033 6259","2322","1",,,"2020-11-13 14:17:29.954825"
"255901","182","(950) 210 2557","2328","1",,,"2020-11-13 14:17:29.978216"
"255901","180","(950) 568 3305","2322","1",,,"2020-11-13 14:17:29.997381"
"255901","187","(950) 111 7677","2322","1",,,"2020-11-13 14:17:30.041408"
"255901","188","(950) 228 2614","2326",,,,"2020-11-13 14:17:30.063554"
"255901","188","(950) 416 7027","2328","1",,,"2020-11-13 14:17:30.064324"
"255901","191","(950) 648 1244","2322","1",,,"2020-11-13 14:17:30.070832"
"255901","191","(950) 613 0702","2327",,,,"2020-11-13 14:17:30.071487"
"255901","195","(950) 344 9894","2322",,,,"2020-11-13 14:17:30.100961"
"255901","195","(950) 017 9898","2326","1",,,"2020-11-13 14:17:30.101637"
"255901","199","(950) 500 9642","2326","1",,,"2020-11-13 14:17:30.128547"
"255901","200","(950) 588 9913","2322","1",,,"2020-11-13 14:17:30.139515"
"255901","203","(950) 209 9592","2322","1",,,"2020-11-13 14:17:30.163447"
"255901","203","(950) 250 4556","2326",,,,"2020-11-13 14:17:30.164279"
"255901","205","(950) 732 8245","2326","1",,,"2020-11-13 14:17:30.174283"
"255901","210","(950) 007 3303","2322","1",,,"2020-11-13 14:17:30.203178"
"255901","211","(950) 212 6712","2328","1",,,"2020-11-13 14:17:30.215165"
"255901","213","(950) 193 5407","2326","1",,,"2020-11-13 14:17:30.223972"
"255901","218","(950) 893 2816","2328","1",,,"2020-11-13 14:17:30.251388"
"255901","220","(950) 762 8242","2322","1",,,"2020-11-13 14:17:30.272101"
"255901","223","(950) 460 9559","2326","1",,,"2020-11-13 14:17:30.294111"
"255901","225","(950) 972 5022","2322","1",,,"2020-11-13 14:17:30.305922"
"255901","227","(950) 789 6739","2322","1",,,"2020-11-13 14:17:30.317696"
"255901","229","(950) 188 1926","2322",,,,"2020-11-13 14:17:30.329783"
"255901","229","(950) 681 1852","2326","1",,,"2020-11-13 14:17:30.330417"
"255901","231","(950) 772 9872","2328","1",,,"2020-11-13 14:17:30.342763"
"255901","233","(950) 569 6422","2326","1",,,"2020-11-13 14:17:30.355168"
"255901","236","(950) 718 3690","2322","1",,,"2020-11-13 14:17:30.382842"
"255901","239","(950) 424 2105","2326","1",,,"2020-11-13 14:17:30.393115"
"255901","243","(950) 617 7825","2326",,,,"2020-11-13 14:17:30.419360"
"255901","243","(950) 709 9923","2328","1",,,"2020-11-13 14:17:30.420118"
"255901","246","(950) 473 4544","2326","1",,,"2020-11-13 14:17:30.440340"
"255901","246","(950) 824 5180","2328",,,,"2020-11-13 14:17:30.441130"
"255901","247","(950) 760 0088","2322","1",,,"2020-11-13 14:17:30.447295"
"255901","250","(950) 600 5615","2323","1",,,"2020-11-13 14:17:30.470928"
"255901","250","(950) 655 6251","2322",,,,"2020-11-13 14:17:30.471620"
"255901","253","(950) 204 2045","2322",,,,"2020-11-13 14:17:30.508596"
"255901","253","(950) 211 4349","2326","1",,,"2020-11-13 14:17:30.509295"
"255901","257","(950) 397 3331","2326","1",,,"2020-11-13 14:17:30.532838"
"255901","263","(950) 665 8544","2328","1",,,"2020-11-13 14:17:30.568089"
"255901","264","(950) 141 1174","2328","1",,,"2020-11-13 14:17:30.578884"
"255901","265","(950) 702 7214","2323","1",,,"2020-11-13 14:17:30.588128"
"255901","265","(950) 389 4640","2322",,,,"2020-11-13 14:17:30.588969"
"255901","240","(950) 895 5377","2326",,,,"2020-11-13 14:17:30.400055"
"255901","240","(950) 794 1750","2328","1",,,"2020-11-13 14:17:30.400718"
"255901","241","(950) 369 3309","2322","1",,,"2020-11-13 14:17:30.410905"
"255901","244","(950) 746 3212","2326",,,,"2020-11-13 14:17:30.433945"
"255901","244","(950) 525 1397","2327","1",,,"2020-11-13 14:17:30.434695"
"255901","245","(950) 862 0674","2326","1",,,"2020-11-13 14:17:30.444084"
"255901","248","(950) 499 1095","2328",,,,"2020-11-13 14:17:30.467177"
"255901","248","(950) 577 2684","2327","1",,,"2020-11-13 14:17:30.467923"
"255901","251","(950) 437 6165","2323","1",,,"2020-11-13 14:17:30.475734"
"255901","251","(950) 844 2349","2326",,,,"2020-11-13 14:17:30.476332"
"255901","252","(950) 568 7177","2328","1",,,"2020-11-13 14:17:30.499580"
"255901","255","(950) 729 7323","2328","1",,,"2020-11-13 14:17:30.516402"
"255901","256","(950) 632 9537","2328","1",,,"2020-11-13 14:17:30.524980"
"255901","258","(950) 462 7661","2326","1",,,"2020-11-13 14:17:30.539256"
"255901","260","(950) 709 9358","2326","1",,,"2020-11-13 14:17:30.548988"
"255901","262","(950) 028 5436","2322",,,,"2020-11-13 14:17:30.568905"
"255901","262","(950) 448 3211","2326","1",,,"2020-11-13 14:17:30.569543"
"255901","267","(950) 403 7015","2323",,,,"2020-11-13 14:17:30.590852"
"255901","267","(950) 315 8501","2326","1",,,"2020-11-13 14:17:30.591591"
"255901","273","(950) 669 7548","2322","1",,,"2020-11-13 14:17:30.640528"
"255901","276","(950) 474 0502","2328","1",,,"2020-11-13 14:17:30.659896"
"255901","281","(950) 195 2950","2328","1",,,"2020-11-13 14:17:30.692024"
"255901","284","(950) 817 5532","2328","1",,,"2020-11-13 14:17:30.713614"
"255901","284","(950) 472 7736","2327",,,,"2020-11-13 14:17:30.714364"
"255901","286","(950) 241 1217","2322","1",,,"2020-11-13 14:17:30.733535"
"255901","288","(950) 817 4316","2322","1",,,"2020-11-13 14:17:30.746141"
"255901","288","(950) 247 9603","2326",,,,"2020-11-13 14:17:30.747217"
"255901","291","(950) 509 0838","2322","1",,,"2020-11-13 14:17:30.765220"
"255901","294","(950) 137 7062","2322","1",,,"2020-11-13 14:17:30.785445"
"255901","298","(950) 172 8862","2326","1",,,"2020-11-13 14:17:30.813151"
"255901","300","(950) 842 8962","2322","1",,,"2020-11-13 14:17:30.821128"
"255901","301","(950) 983 0035","2322","1",,,"2020-11-13 14:17:30.835149"
"255901","303","(950) 298 5757","2322",,,,"2020-11-13 14:17:30.843216"
"255901","303","(950) 167 3326","2326","1",,,"2020-11-13 14:17:30.843883"
"255901","306","(950) 479 4225","2322","1",,,"2020-11-13 14:17:30.861943"
"255901","308","(950) 346 0927","2322",,,,"2020-11-13 14:17:30.872587"
"255901","308","(950) 351 3765","2326","1",,,"2020-11-13 14:17:30.873198"
"255901","310","(950) 395 7487","2322",,,,"2020-11-13 14:17:30.885871"
"255901","310","(950) 131 0122","2326","1",,,"2020-11-13 14:17:30.886617"
"255901","312","(950) 286 0372","2322","1",,,"2020-11-13 14:17:30.900842"
"255901","314","(950) 896 7840","2326","1",,,"2020-11-13 14:17:30.913101"
"255901","316","(950) 916 9215","2326",,,,"2020-11-13 14:17:30.926783"
"255901","316","(950) 751 9780","2328","1",,,"2020-11-13 14:17:30.928342"
"255901","317","(950) 846 5329","2322","1",,,"2020-11-13 14:17:30.937603"
"255901","322","(950) 163 0807","2322","1",,,"2020-11-13 14:17:30.972368"
"255901","328","(950) 174 7687","2323","1",,,"2020-11-13 14:17:31.008264"
"255901","328","(950) 822 8970","2322",,,,"2020-11-13 14:17:31.008895"
"255901","333","(950) 550 4232","2328","1",,,"2020-11-13 14:17:31.041969"
"255901","337","(950) 253 7585","2328","1",,,"2020-11-13 14:17:31.064981"
"255901","338","(950) 139 5000","2322","1",,,"2020-11-13 14:17:31.078718"
"255901","341","(950) 315 9995","2328","1",,,"2020-11-13 14:17:31.090154"
"255901","342","(950) 377 3761","2323","1",,,"2020-11-13 14:17:31.111235"
"255901","342","(950) 459 1101","2322",,,,"2020-11-13 14:17:31.111940"
"255901","346","(950) 736 5355","2328","1",,,"2020-11-13 14:17:31.120985"
"255901","348","(950) 944 9763","2322","1",,,"2020-11-13 14:17:31.129494"
"255901","349","(950) 306 4570","2322",,,,"2020-11-13 14:17:31.139133"
"255901","349","(950) 319 0512","2326","1",,,"2020-11-13 14:17:31.139819"
"255901","352","(950) 812 7240","2328","1",,,"2020-11-13 14:17:31.157187"
"255901","354","(950) 747 6629","2328","1",,,"2020-11-13 14:17:31.173880"
"255901","356","(950) 902 0057","2322","1",,,"2020-11-13 14:17:31.187570"
"255901","361","(950) 759 4468","2328","1",,,"2020-11-13 14:17:31.216746"
"255901","368","(950) 328 1455","2326","1",,,"2020-11-13 14:17:31.263268"
"255901","370","(950) 203 0724","2322","1",,,"2020-11-13 14:17:31.282794"
"255901","370","(950) 832 1097","2326",,,,"2020-11-13 14:17:31.283536"
"255901","374","(950) 187 7082","2328","1",,,"2020-11-13 14:17:31.311065"
"255901","379","(950) 680 8604","2328","1",,,"2020-11-13 14:17:31.334722"
"255901","381","(950) 632 2306","2326",,,,"2020-11-13 14:17:31.352377"
"255901","381","(950) 736 7501","2328","1",,,"2020-11-13 14:17:31.353128"
"255901","385","(950) 605 0282","2322","1",,,"2020-11-13 14:17:31.392860"
"255901","389","(950) 169 9490","2323",,,,"2020-11-13 14:17:31.414202"
"255901","389","(950) 749 6107","2322","1",,,"2020-11-13 14:17:31.415027"
"255901","391","(950) 293 3968","2328","1",,,"2020-11-13 14:17:31.432658"
"255901","394","(950) 970 1859","2322","1",,,"2020-11-13 14:17:31.443936"
"255901","398","(950) 154 3764","2326","1",,,"2020-11-13 14:17:31.473799"
"255901","405","(950) 315 6758","2322","1",,,"2020-11-13 14:17:31.508178"
"255901","411","(950) 295 5729","2322","1",,,"2020-11-13 14:17:31.559478"
"255901","412","(950) 237 2919","2323","1",,,"2020-11-13 14:17:31.568258"
"255901","412","(950) 850 3482","2322",,,,"2020-11-13 14:17:31.568939"
"255901","415","(950) 062 9225","2323",,,,"2020-11-13 14:17:31.581191"
"255901","415","(950) 802 7256","2322","1",,,"2020-11-13 14:17:31.581831"
"255901","416","(950) 076 8095","2326","1",,,"2020-11-13 14:17:31.591090"
"255901","418","(950) 236 2382","2322","1",,,"2020-11-13 14:17:31.610020"
"255901","422","(950) 390 6391","2326","1",,,"2020-11-13 14:17:31.618100"
"255901","425","(950) 785 9974","2326","1",,,"2020-11-13 14:17:31.642867"
"255901","426","(950) 737 9288","2328","1",,,"2020-11-13 14:17:31.659228"
"255901","429","(950) 682 3846","2326","1",,,"2020-11-13 14:17:31.670033"
"255901","433","(950) 470 0585","2326","1",,,"2020-11-13 14:17:31.695228"
"255901","436","(950) 084 4647","2326","1",,,"2020-11-13 14:17:31.719018"
"255901","438","(950) 009 3281","2322","1",,,"2020-11-13 14:17:31.742911"
"255901","442","(950) 871 1315","2326",,,,"2020-11-13 14:17:31.769422"
"255901","442","(950) 135 5689","2328","1",,,"2020-11-13 14:17:31.770024"
"255901","448","(950) 749 0936","2322","1",,,"2020-11-13 14:17:31.797643"
"255901","453","(950) 202 9217","2322","1",,,"2020-11-13 14:17:31.823370"
"255901","453","(950) 006 8076","2328",,,,"2020-11-13 14:17:31.824053"
"255901","455","(950) 683 7110","2322","1",,,"2020-11-13 14:17:31.846100"
"255901","458","(950) 266 9802","2328","1",,,"2020-11-13 14:17:31.870049"
"255901","465","(950) 076 9240","2322",,,,"2020-11-13 14:17:31.902953"
"255901","465","(950) 058 1327","2326","1",,,"2020-11-13 14:17:31.904729"
"255901","468","(950) 903 7801","2326",,,,"2020-11-13 14:17:31.926774"
"255901","468","(950) 312 8266","2328","1",,,"2020-11-13 14:17:31.927426"
"255901","470","(950) 543 6326","2328","1",,,"2020-11-13 14:17:31.958011"
"255901","476","(950) 944 0751","2322",,,,"2020-11-13 14:17:31.981840"
"255901","476","(950) 536 8082","2328","1",,,"2020-11-13 14:17:31.982496"
"255901","480","(950) 392 0453","2326","1",,,"2020-11-13 14:17:32.006934"
"255901","484","(950) 812 6608","2322",,,,"2020-11-13 14:17:32.030455"
"255901","484","(950) 177 3035","2328","1",,,"2020-11-13 14:17:32.031124"
"255901","487","(950) 115 0282","2328","1",,,"2020-11-13 14:17:32.053216"
"255901","492","(950) 452 2858","2322","1",,,"2020-11-13 14:17:32.078798"
"255901","496","(950) 105 1924","2322","1",,,"2020-11-13 14:17:32.103730"
"255901","499","(950) 487 2072","2323",,,,"2020-11-13 14:17:32.129052"
"255901","499","(950) 041 4958","2322","1",,,"2020-11-13 14:17:32.129960"
"255901","502","(950) 437 8549","2322","1",,,"2020-11-13 14:17:32.153789"
"255901","502","(950) 096 5473","2328",,,,"2020-11-13 14:17:32.154442"
"255901","505","(950) 612 7765","2326","1",,,"2020-11-13 14:17:32.164069"
"255901","508","(950) 744 2937","2322",,,,"2020-11-13 14:17:32.181124"
"255901","508","(950) 982 0247","2326","1",,,"2020-11-13 14:17:32.181771"
"255901","512","(950) 803 4786","2326","1",,,"2020-11-13 14:17:32.203378"
"255901","513","(950) 209 9093","2322","1",,,"2020-11-13 14:17:32.226657"
"255901","520","(950) 078 5867","2328","1",,,"2020-11-13 14:17:32.249175"
"255901","522","(950) 772 9615","2328","1",,,"2020-11-13 14:17:32.272305"
"255901","266","(950) 539 2830","2322","1",,,"2020-11-13 14:17:30.597165"
"255901","266","(950) 318 5533","2326",,,,"2020-11-13 14:17:30.597840"
"255901","268","(950) 466 1744","2323","1",,,"2020-11-13 14:17:30.606422"
"255901","268","(950) 461 5890","2322",,,,"2020-11-13 14:17:30.607086"
"255901","269","(950) 871 1245","2322","1",,,"2020-11-13 14:17:30.616590"
"255901","269","(950) 598 4115","2328",,,,"2020-11-13 14:17:30.617475"
"255901","271","(950) 549 9295","2322","1",,,"2020-11-13 14:17:30.625925"
"255901","271","(950) 217 5675","2328",,,,"2020-11-13 14:17:30.626594"
"255901","274","(950) 274 8127","2322","1",,,"2020-11-13 14:17:30.648004"
"255901","277","(950) 983 1011","2322","1",,,"2020-11-13 14:17:30.668662"
"255901","279","(950) 258 1059","2326","1",,,"2020-11-13 14:17:30.679761"
"255901","280","(950) 668 3019","2328","1",,,"2020-11-13 14:17:30.690406"
"255901","283","(950) 760 5538","2322","1",,,"2020-11-13 14:17:30.707948"
"255901","285","(950) 565 0306","2328","1",,,"2020-11-13 14:17:30.719734"
"255901","289","(950) 560 3541","2322","1",,,"2020-11-13 14:17:30.741355"
"255901","289","(950) 509 7844","2326",,,,"2020-11-13 14:17:30.742064"
"255901","293","(950) 875 5985","2328","1",,,"2020-11-13 14:17:30.776400"
"255901","296","(950) 543 5733","2322","1",,,"2020-11-13 14:17:30.796035"
"255901","297","(950) 613 8327","2322","1",,,"2020-11-13 14:17:30.805732"
"255901","297","(950) 255 8299","2326",,,,"2020-11-13 14:17:30.806345"
"255901","299","(950) 573 2526","2323","1",,,"2020-11-13 14:17:30.815670"
"255901","299","(950) 835 0185","2322",,,,"2020-11-13 14:17:30.817091"
"255901","304","(950) 360 8646","2328","1",,,"2020-11-13 14:17:30.845717"
"255901","305","(950) 799 8017","2322","1",,,"2020-11-13 14:17:30.858857"
"255901","307","(950) 018 6886","2322","1",,,"2020-11-13 14:17:30.869806"
"255901","307","(950) 369 4508","2328",,,,"2020-11-13 14:17:30.870484"
"255901","309","(950) 970 8695","2322","1",,,"2020-11-13 14:17:30.885856"
"255901","311","(950) 804 4003","2326","1",,,"2020-11-13 14:17:30.898523"
"255901","313","(950) 606 2522","2322","1",,,"2020-11-13 14:17:30.912794"
"255901","315","(950) 449 3965","2322","1",,,"2020-11-13 14:17:30.923126"
"255901","315","(950) 418 7829","2326",,,,"2020-11-13 14:17:30.923741"
"255901","320","(950) 655 6007","2326","1",,,"2020-11-13 14:17:30.948244"
"255901","320","(950) 817 3042","2328",,,,"2020-11-13 14:17:30.948913"
"255901","323","(950) 699 1689","2322",,,,"2020-11-13 14:17:30.971493"
"255901","323","(950) 208 5002","2326","1",,,"2020-11-13 14:17:30.972109"
"255901","324","(950) 411 8050","2326","1",,,"2020-11-13 14:17:30.982021"
"255901","325","(950) 036 6088","2322","1",,,"2020-11-13 14:17:30.990096"
"255901","325","(950) 892 1755","2328",,,,"2020-11-13 14:17:30.990823"
"255901","327","(950) 838 2479","2326","1",,,"2020-11-13 14:17:30.999164"
"255901","330","(950) 367 9295","2322","1",,,"2020-11-13 14:17:31.017809"
"255901","331","(950) 657 3810","2326","1",,,"2020-11-13 14:17:31.025496"
"255901","332","(950) 913 5011","2322","1",,,"2020-11-13 14:17:31.033825"
"255901","332","(950) 317 2432","2326",,,,"2020-11-13 14:17:31.034417"
"255901","335","(950) 443 7734","2326","1",,,"2020-11-13 14:17:31.049398"
"255901","336","(950) 417 3078","2322","1",,,"2020-11-13 14:17:31.058475"
"255901","340","(950) 052 6776","2323",,,,"2020-11-13 14:17:31.065956"
"255901","340","(950) 255 3024","2322","1",,,"2020-11-13 14:17:31.066588"
"255901","339","(950) 262 7806","2322","1",,,"2020-11-13 14:17:31.086724"
"255901","343","(950) 575 2703","2326",,,,"2020-11-13 14:17:31.095340"
"255901","343","(950) 824 6289","2328","1",,,"2020-11-13 14:17:31.096002"
"255901","344","(950) 564 1719","2326","1",,,"2020-11-13 14:17:31.103681"
"255901","350","(950) 646 9251","2326","1",,,"2020-11-13 14:17:31.147716"
"255901","355","(950) 705 6674","2328","1",,,"2020-11-13 14:17:31.181934"
"255901","360","(950) 557 2899","2328","1",,,"2020-11-13 14:17:31.210297"
"255901","363","(950) 778 9590","2322","1",,,"2020-11-13 14:17:31.233033"
"255901","365","(950) 780 8137","2322","1",,,"2020-11-13 14:17:31.245214"
"255901","366","(950) 821 4244","2326","1",,,"2020-11-13 14:17:31.256418"
"255901","369","(950) 095 1700","2323",,,,"2020-11-13 14:17:31.273218"
"255901","369","(950) 103 7890","2322","1",,,"2020-11-13 14:17:31.274044"
"255901","372","(950) 125 6361","2326","1",,,"2020-11-13 14:17:31.282787"
"255901","372","(950) 700 6907","2328",,,,"2020-11-13 14:17:31.283565"
"255901","373","(950) 739 5785","2326","1",,,"2020-11-13 14:17:31.301102"
"255901","375","(950) 093 4085","2322","1",,,"2020-11-13 14:17:31.310510"
"255901","378","(950) 920 9931","2326",,,,"2020-11-13 14:17:31.335744"
"255901","378","(950) 347 9992","2328","1",,,"2020-11-13 14:17:31.336429"
"255901","383","(950) 700 8374","2322",,,,"2020-11-13 14:17:31.358730"
"255901","383","(950) 279 4922","2328","1",,,"2020-11-13 14:17:31.359449"
"255901","384","(950) 726 9253","2328","1",,,"2020-11-13 14:17:31.391665"
"255901","387","(950) 755 1881","2322","1",,,"2020-11-13 14:17:31.403906"
"255901","388","(950) 732 2832","2322","1",,,"2020-11-13 14:17:31.414809"
"255901","393","(950) 971 0126","2326","1",,,"2020-11-13 14:17:31.446742"
"255901","395","(950) 291 4635","2322","1",,,"2020-11-13 14:17:31.457159"
"255901","397","(950) 074 9861","2323",,,,"2020-11-13 14:17:31.467023"
"255901","397","(950) 036 3745","2322","1",,,"2020-11-13 14:17:31.467772"
"255901","399","(950) 459 5089","2322",,,,"2020-11-13 14:17:31.482799"
"255901","399","(950) 930 8386","2328","1",,,"2020-11-13 14:17:31.483415"
"255901","401","(950) 790 9406","2322","1",,,"2020-11-13 14:17:31.492557"
"255901","401","(950) 577 3631","2326",,,,"2020-11-13 14:17:31.493156"
"255901","403","(950) 193 3514","2326","1",,,"2020-11-13 14:17:31.500604"
"255901","403","(950) 779 0236","2327",,,,"2020-11-13 14:17:31.501298"
"255901","402","(950) 736 3113","2322","1",,,"2020-11-13 14:17:31.509214"
"255901","404","(950) 016 8843","2326",,,,"2020-11-13 14:17:31.516238"
"255901","404","(950) 227 0566","2327","1",,,"2020-11-13 14:17:31.516966"
"255901","406","(950) 064 9395","2322","1",,,"2020-11-13 14:17:31.524774"
"255901","409","(950) 658 0264","2328","1",,,"2020-11-13 14:17:31.541553"
"255901","410","(950) 344 3609","2326","1",,,"2020-11-13 14:17:31.550181"
"255901","413","(950) 668 6343","2326","1",,,"2020-11-13 14:17:31.586051"
"255901","417","(950) 190 8148","2322","1",,,"2020-11-13 14:17:31.594313"
"255901","417","(950) 175 8953","2326",,,,"2020-11-13 14:17:31.595033"
"255901","419","(950) 219 4291","2326","1",,,"2020-11-13 14:17:31.609165"
"255901","420","(950) 949 2413","2326","1",,,"2020-11-13 14:17:31.616391"
"255901","424","(950) 731 5871","2323",,,,"2020-11-13 14:17:31.642117"
"255901","424","(950) 292 3403","2322","1",,,"2020-11-13 14:17:31.642752"
"255901","428","(950) 203 2380","2328","1",,,"2020-11-13 14:17:31.669257"
"255901","430","(950) 822 8414","2328","1",,,"2020-11-13 14:17:31.686389"
"255901","432","(950) 482 2409","2326","1",,,"2020-11-13 14:17:31.695770"
"255901","432","(950) 434 4794","2327",,,,"2020-11-13 14:17:31.696399"
"255901","435","(950) 663 4520","2328","1",,,"2020-11-13 14:17:31.720357"
"255901","439","(950) 541 3471","2326","1",,,"2020-11-13 14:17:31.744220"
"255901","439","(950) 624 2838","2327",,,,"2020-11-13 14:17:31.744852"
"255901","443","(950) 081 1439","2322","1",,,"2020-11-13 14:17:31.768336"
"255901","443","(950) 986 3903","2326",,,,"2020-11-13 14:17:31.769100"
"255901","447","(950) 717 8072","2328","1",,,"2020-11-13 14:17:31.795807"
"255901","450","(950) 223 1741","2322","1",,,"2020-11-13 14:17:31.822157"
"255901","454","(950) 975 1921","2323","1",,,"2020-11-13 14:17:31.846118"
"255901","454","(950) 375 4442","2322",,,,"2020-11-13 14:17:31.846827"
"255901","462","(950) 919 2320","2328","1",,,"2020-11-13 14:17:31.877216"
"255901","464","(950) 827 6368","2328","1",,,"2020-11-13 14:17:31.897523"
