parentusi,telephonenumber,telephonenumbertypedescriptorid,orderofpriority,textmessagecapabilityindicator,donotpublishindicator,createdate
"185","(950) 769 1115","2327","1",,,"2020-11-13 14:15:48.801458"
"188","(950) 482 0142","2325","1",,,"2020-11-13 14:15:48.819182"
"190","(950) 934 4308","2328","1",,,"2020-11-13 14:15:48.828697"
"193","(950) 125 5199","2322","1",,,"2020-11-13 14:15:48.852366"
"194","(950) 369 2206","2326","1",,,"2020-11-13 14:15:48.863968"
"195","(950) 262 7930","2329","1",,,"2020-11-13 14:15:48.867600"
"197","(950) 828 7834","2329",,,,"2020-11-13 14:15:48.878590"
"197","(950) 001 7466","2325","1",,,"2020-11-13 14:15:48.879194"
"199","(950) 586 4790","2324","1",,,"2020-11-13 14:15:48.894364"
"199","(950) 075 4549","2325",,,,"2020-11-13 14:15:48.894919"
"204","(950) 446 3925","2326","1",,,"2020-11-13 14:15:48.918979"
"207","(950) 549 2120","2329","1",,,"2020-11-13 14:15:48.936363"
"209","(950) 185 3248","2328","1",,,"2020-11-13 14:15:48.949844"
"210","(950) 712 0336","2325","1",,,"2020-11-13 14:15:48.962190"
"213","(950) 469 0384","2329","1",,,"2020-11-13 14:15:48.977228"
"219","(950) 963 0358","2322","1",,,"2020-11-13 14:15:49.013266"
"225","(950) 674 8834","2328","1",,,"2020-11-13 14:15:49.054731"
"225","(950) 066 9156","2325",,,,"2020-11-13 14:15:49.055407"
"229","(950) 187 3916","2322","1",,,"2020-11-13 14:15:49.075762"
"230","(950) 384 9143","2323","1",,,"2020-11-13 14:15:49.078634"
"232","(950) 880 1991","2328","1",,,"2020-11-13 14:15:49.098311"
"237","(950) 624 4396","2323",,,,"2020-11-13 14:15:49.122523"
"237","(950) 482 3111","2329","1",,,"2020-11-13 14:15:49.123427"
"240","(950) 551 1773","2322","1",,,"2020-11-13 14:15:49.141491"
"243","(950) 964 7066","2329","1",,,"2020-11-13 14:15:49.161745"
"244","(950) 378 6303","2322","1",,,"2020-11-13 14:15:49.168423"
"247","(950) 465 4175","2325","1",,,"2020-11-13 14:15:49.185480"
"248","(950) 011 8839","2324","1",,,"2020-11-13 14:15:49.190085"
"249","(950) 627 1926","2327","1",,,"2020-11-13 14:15:49.195295"
"252","(950) 123 0256","2328","1",,,"2020-11-13 14:15:49.211344"
"254","(950) 979 4724","2327","1",,,"2020-11-13 14:15:49.216510"
"258","(950) 115 7502","2326",,,,"2020-11-13 14:15:49.238779"
"258","(950) 048 0582","2329","1",,,"2020-11-13 14:15:49.239315"
"263","(950) 645 2488","2322","1",,,"2020-11-13 14:15:49.275324"
"264","(950) 275 7046","2323","1",,,"2020-11-13 14:15:49.276654"
"266","(950) 853 2210","2328","1",,,"2020-11-13 14:15:49.282867"
"267","(950) 623 0888","2322","1",,,"2020-11-13 14:15:49.294887"
"270","(950) 851 4795","2328","1",,,"2020-11-13 14:15:49.302913"
"272","(950) 840 8009","2329","1",,,"2020-11-13 14:15:49.329458"
"271","(950) 162 9704","2325","1",,,"2020-11-13 14:15:49.329485"
"276","(950) 779 4029","2327","1",,,"2020-11-13 14:15:49.349224"
"278","(950) 875 6593","2322","1",,,"2020-11-13 14:15:49.351590"
"280","(950) 316 7097","2324","1",,,"2020-11-13 14:15:49.372305"
"282","(950) 820 2613","2323","1",,,"2020-11-13 14:15:49.373575"
"283","(950) 853 9490","2324","1",,,"2020-11-13 14:15:49.391326"
"286","(950) 233 5230","2323","1",,,"2020-11-13 14:15:49.400785"
"288","(950) 534 6619","2329","1",,,"2020-11-13 14:15:49.414940"
"290","(950) 393 3840","2323","1",,,"2020-11-13 14:15:49.423625"
"2","(950) 943 8054","2325","1",,,"2020-11-13 14:15:47.694859"
"9","(950) 284 7153","2324","1",,,"2020-11-13 14:15:47.752176"
"12","(950) 588 2446","2323",,,,"2020-11-13 14:15:47.765018"
"12","(950) 703 5057","2325","1",,,"2020-11-13 14:15:47.765613"
"13","(950) 015 8573","2325","1",,,"2020-11-13 14:15:47.777048"
"17","(950) 434 1286","2329","1",,,"2020-11-13 14:15:47.800358"
"20","(950) 475 0405","2325","1",,,"2020-11-13 14:15:47.821534"
"24","(950) 954 5271","2326","1",,,"2020-11-13 14:15:47.842720"
"28","(950) 035 5585","2325","1",,,"2020-11-13 14:15:47.871902"
"29","(950) 345 1995","2324","1",,,"2020-11-13 14:15:47.878957"
"31","(950) 226 4408","2323","1",,,"2020-11-13 14:15:47.894479"
"34","(950) 007 0361","2323",,,,"2020-11-13 14:15:47.901925"
"34","(950) 065 9453","2329","1",,,"2020-11-13 14:15:47.902429"
"35","(950) 071 3853","2323","1",,,"2020-11-13 14:15:47.914172"
"37","(950) 434 2462","2326","1",,,"2020-11-13 14:15:47.921105"
"41","(950) 067 8943","2328","1",,,"2020-11-13 14:15:47.942252"
"43","(950) 885 5881","2323",,,,"2020-11-13 14:15:47.959939"
"43","(950) 910 0881","2325","1",,,"2020-11-13 14:15:47.960624"
"49","(950) 290 1475","2322","1",,,"2020-11-13 14:15:47.983693"
"51","(950) 069 2632","2329","1",,,"2020-11-13 14:15:48.000549"
"54","(950) 589 7717","2329",,,,"2020-11-13 14:15:48.009384"
"54","(950) 132 0216","2325","1",,,"2020-11-13 14:15:48.009915"
"55","(950) 811 7003","2325","1",,,"2020-11-13 14:15:48.021426"
"57","(950) 729 2625","2326","1",,,"2020-11-13 14:15:48.028906"
"61","(950) 590 7188","2327","1",,,"2020-11-13 14:15:48.049891"
"63","(950) 667 7744","2323","1",,,"2020-11-13 14:15:48.061885"
"66","(950) 349 4487","2322","1",,,"2020-11-13 14:15:48.084861"
"68","(950) 461 9051","2327","1",,,"2020-11-13 14:15:48.110073"
"71","(950) 838 0678","2322",,,,"2020-11-13 14:15:48.122890"
"71","(950) 900 9696","2326","1",,,"2020-11-13 14:15:48.123468"
"73","(950) 484 8680","2329","1",,,"2020-11-13 14:15:48.135925"
"74","(950) 160 8116","2322","1",,,"2020-11-13 14:15:48.142444"
"77","(950) 234 3640","2328","1",,,"2020-11-13 14:15:48.157314"
"78","(950) 902 0605","2327","1",,,"2020-11-13 14:15:48.166848"
"78","(950) 160 3525","2325",,,,"2020-11-13 14:15:48.168366"
"80","(950) 807 2791","2323","1",,,"2020-11-13 14:15:48.183428"
"82","(950) 950 7554","2325","1",,,"2020-11-13 14:15:48.195238"
"84","(950) 838 1972","2327","1",,,"2020-11-13 14:15:48.202344"
"85","(950) 726 4121","2325","1",,,"2020-11-13 14:15:48.208231"
"86","(950) 788 3642","2325","1",,,"2020-11-13 14:15:48.214554"
"88","(950) 567 7808","2323","1",,,"2020-11-13 14:15:48.224200"
"88","(950) 279 0506","2329",,,,"2020-11-13 14:15:48.224930"
"90","(950) 166 1198","2329","1",,,"2020-11-13 14:15:48.235396"
"92","(950) 676 7338","2329","1",,,"2020-11-13 14:15:48.245985"
"94","(950) 648 3877","2322","1",,,"2020-11-13 14:15:48.255785"
"97","(950) 412 2204","2327","1",,,"2020-11-13 14:15:48.272248"
"97","(950) 614 7968","2324",,,,"2020-11-13 14:15:48.272903"
"98","(950) 396 6625","2322",,,,"2020-11-13 14:15:48.278403"
"98","(950) 698 0712","2327","1",,,"2020-11-13 14:15:48.278908"
"99","(950) 774 5001","2326","1",,,"2020-11-13 14:15:48.285477"
"101","(950) 362 2819","2326","1",,,"2020-11-13 14:15:48.292659"
"102","(950) 363 0879","2327","1",,,"2020-11-13 14:15:48.303799"
"104","(950) 112 7017","2327","1",,,"2020-11-13 14:15:48.311341"
"106","(950) 780 0925","2329","1",,,"2020-11-13 14:15:48.328754"
"108","(950) 416 9443","2326","1",,,"2020-11-13 14:15:48.334125"
"109","(950) 854 3752","2326","1",,,"2020-11-13 14:15:48.339826"
"110","(950) 714 1918","2326",,,,"2020-11-13 14:15:48.351140"
"110","(950) 309 3352","2328","1",,,"2020-11-13 14:15:48.351693"
"113","(950) 081 1856","2325","1",,,"2020-11-13 14:15:48.361181"
"114","(950) 629 7875","2326","1",,,"2020-11-13 14:15:48.375549"
"117","(950) 080 4418","2324","1",,,"2020-11-13 14:15:48.381998"
"119","(950) 602 9831","2325","1",,,"2020-11-13 14:15:48.396354"
"121","(950) 429 1666","2329","1",,,"2020-11-13 14:15:48.401985"
"125","(950) 105 6807","2326",,,,"2020-11-13 14:15:48.447620"
"125","(950) 173 4322","2327","1",,,"2020-11-13 14:15:48.448224"
"129","(950) 606 2088","2326","1",,,"2020-11-13 14:15:48.471347"
"134","(950) 346 9396","2327","1",,,"2020-11-13 14:15:48.495286"
"134","(950) 881 0188","2324",,,,"2020-11-13 14:15:48.495812"
"136","(950) 501 2295","2326","1",,,"2020-11-13 14:15:48.509305"
"137","(950) 315 1900","2324","1",,,"2020-11-13 14:15:48.516596"
"140","(950) 316 7519","2326","1",,,"2020-11-13 14:15:48.537173"
"142","(950) 697 4167","2327","1",,,"2020-11-13 14:15:48.543654"
"144","(950) 896 5439","2325","1",,,"2020-11-13 14:15:48.557672"
"146","(950) 902 8030","2325","1",,,"2020-11-13 14:15:48.567638"
"147","(950) 917 1648","2322","1",,,"2020-11-13 14:15:48.575384"
"149","(950) 748 0118","2326",,,,"2020-11-13 14:15:48.581584"
"149","(950) 843 5602","2325","1",,,"2020-11-13 14:15:48.582117"
"151","(950) 294 0821","2322","1",,,"2020-11-13 14:15:48.595649"
"153","(950) 593 7414","2324","1",,,"2020-11-13 14:15:48.601484"
"155","(950) 843 7285","2323","1",,,"2020-11-13 14:15:48.618803"
"157","(950) 976 9868","2326","1",,,"2020-11-13 14:15:48.627533"
"157","(950) 392 9606","2328",,,,"2020-11-13 14:15:48.628051"
"159","(950) 263 2653","2329","1",,,"2020-11-13 14:15:48.639238"
"163","(950) 462 7568","2327","1",,,"2020-11-13 14:15:48.659384"
"167","(950) 599 5883","2323","1",,,"2020-11-13 14:15:48.682018"
"167","(950) 010 3633","2327",,,,"2020-11-13 14:15:48.682585"
"169","(950) 528 3089","2322","1",,,"2020-11-13 14:15:48.700627"
"171","(950) 836 0229","2324","1",,,"2020-11-13 14:15:48.705469"
"172","(950) 968 2233","2323","1",,,"2020-11-13 14:15:48.711576"
"174","(950) 758 0436","2327","1",,,"2020-11-13 14:15:48.723323"
"176","(950) 881 7664","2329","1",,,"2020-11-13 14:15:48.736483"
"176","(950) 118 0452","2325",,,,"2020-11-13 14:15:48.737098"
"178","(950) 126 2165","2329","1",,,"2020-11-13 14:15:48.743297"
"179","(950) 257 4163","2326","1",,,"2020-11-13 14:15:48.754325"
"182","(950) 929 0303","2329","1",,,"2020-11-13 14:15:48.766869"
"184","(950) 796 2333","2328","1",,,"2020-11-13 14:15:48.788628"
"187","(950) 609 6338","2327","1",,,"2020-11-13 14:15:48.816594"
"191","(950) 196 4790","2327","1",,,"2020-11-13 14:15:48.841124"
"192","(950) 427 0680","2324","1",,,"2020-11-13 14:15:48.849815"
"196","(950) 976 3378","2324","1",,,"2020-11-13 14:15:48.877912"
"198","(950) 990 4199","2328","1",,,"2020-11-13 14:15:48.891603"
"200","(950) 257 1165","2328","1",,,"2020-11-13 14:15:48.897278"
"201","(950) 814 5394","2327","1",,,"2020-11-13 14:15:48.903872"
"202","(950) 418 1284","2322","1",,,"2020-11-13 14:15:48.911428"
"205","(950) 687 9995","2325","1",,,"2020-11-13 14:15:48.925172"
"206","(950) 563 6224","2328","1",,,"2020-11-13 14:15:48.933624"
"208","(950) 190 4273","2322","1",,,"2020-11-13 14:15:48.948678"
"208","(950) 177 5690","2328",,,,"2020-11-13 14:15:48.949195"
"212","(950) 752 1953","2328","1",,,"2020-11-13 14:15:48.970925"
"214","(950) 400 0040","2326","1",,,"2020-11-13 14:15:48.984548"
"216","(950) 263 6709","2324","1",,,"2020-11-13 14:15:48.990963"
"217","(950) 873 1910","2325","1",,,"2020-11-13 14:15:49.000678"
"218","(950) 467 0627","2325","1",,,"2020-11-13 14:15:49.009393"
"221","(950) 423 7671","2326","1",,,"2020-11-13 14:15:49.028633"
"221","(950) 751 5162","2329",,,,"2020-11-13 14:15:49.029233"
"223","(950) 032 4987","2327",,,,"2020-11-13 14:15:49.039103"
"223","(950) 241 3146","2324","1",,,"2020-11-13 14:15:49.043210"
"224","(950) 114 5153","2328","1",,,"2020-11-13 14:15:49.054402"
"228","(950) 853 6999","2327","1",,,"2020-11-13 14:15:49.074501"
"231","(950) 616 5905","2323","1",,,"2020-11-13 14:15:49.088800"
"234","(950) 393 5169","2322",,,,"2020-11-13 14:15:49.100096"
"234","(950) 912 8381","2325","1",,,"2020-11-13 14:15:49.100675"
"235","(950) 166 5473","2326","1",,,"2020-11-13 14:15:49.112346"
"236","(950) 056 2239","2327","1",,,"2020-11-13 14:15:49.119253"
"238","(950) 588 3944","2329",,,,"2020-11-13 14:15:49.125018"
"238","(950) 489 7727","2328","1",,,"2020-11-13 14:15:49.125598"
"239","(950) 696 1697","2323","1",,,"2020-11-13 14:15:49.134648"
"241","(950) 144 7275","2329","1",,,"2020-11-13 14:15:49.146939"
"246","(950) 298 1502","2329","1",,,"2020-11-13 14:15:49.173365"
"250","(950) 046 4589","2328","1",,,"2020-11-13 14:15:49.194613"
"251","(950) 888 9197","2324","1",,,"2020-11-13 14:15:49.206012"
"253","(950) 922 8910","2326","1",,,"2020-11-13 14:15:49.215558"
"255","(950) 214 2927","2326","1",,,"2020-11-13 14:15:49.226881"
"257","(950) 627 1870","2324","1",,,"2020-11-13 14:15:49.238846"
"260","(950) 626 1435","2323","1",,,"2020-11-13 14:15:49.256724"
"262","(950) 693 2535","2328","1",,,"2020-11-13 14:15:49.262754"
"265","(950) 725 4107","2323","1",,,"2020-11-13 14:15:49.281816"
"269","(950) 547 7870","2323","1",,,"2020-11-13 14:15:49.300896"
"273","(950) 464 8847","2323","1",,,"2020-11-13 14:15:49.329518"
"275","(950) 103 7164","2329","1",,,"2020-11-13 14:15:49.348580"
"279","(950) 181 4936","2322","1",,,"2020-11-13 14:15:49.370120"
"285","(950) 614 5135","2329","1",,,"2020-11-13 14:15:49.395511"
"287","(950) 988 1713","2327","1",,,"2020-11-13 14:15:49.412631"
"287","(950) 525 4349","2324",,,,"2020-11-13 14:15:49.413304"
"291","(950) 271 3477","2327","1",,,"2020-11-13 14:15:49.431417"
"295","(950) 406 9377","2324","1",,,"2020-11-13 14:15:49.453129"
"298","(950) 804 3997","2329",,,,"2020-11-13 14:15:49.469875"
"298","(950) 764 1633","2328","1",,,"2020-11-13 14:15:49.470533"
"299","(950) 324 1873","2329","1",,,"2020-11-13 14:15:49.477248"
"304","(950) 017 0097","2329","1",,,"2020-11-13 14:15:49.497227"
"305","(950) 931 9048","2328","1",,,"2020-11-13 14:15:49.510172"
"308","(950) 332 3593","2325","1",,,"2020-11-13 14:15:49.528436"
"310","(950) 344 9188","2323","1",,,"2020-11-13 14:15:49.541657"
"313","(950) 320 1352","2323","1",,,"2020-11-13 14:15:49.561130"
"313","(950) 192 8593","2324",,,,"2020-11-13 14:15:49.561743"
"316","(950) 884 1989","2322","1",,,"2020-11-13 14:15:49.581593"
"318","(950) 022 3041","2328","1",,,"2020-11-13 14:15:49.596216"
"318","(950) 597 9002","2325",,,,"2020-11-13 14:15:49.596789"
"320","(950) 743 4614","2328","1",,,"2020-11-13 14:15:49.606909"
"322","(950) 047 9544","2329","1",,,"2020-11-13 14:15:49.616783"
"323","(950) 420 7241","2323","1",,,"2020-11-13 14:15:49.624172"
"325","(950) 844 7234","2322","1",,,"2020-11-13 14:15:49.637505"
"327","(950) 092 6894","2322","1",,,"2020-11-13 14:15:49.645905"
"329","(950) 135 2998","2327","1",,,"2020-11-13 14:15:49.661040"
"331","(950) 557 7510","2327","1",,,"2020-11-13 14:15:49.665826"
"335","(950) 115 7871","2329","1",,,"2020-11-13 14:15:49.686566"
"337","(950) 150 1292","2328","1",,,"2020-11-13 14:15:49.705265"
"337","(950) 842 7955","2325",,,,"2020-11-13 14:15:49.705831"
"339","(950) 369 0122","2323","1",,,"2020-11-13 14:15:49.713792"
"341","(950) 120 2621","2328","1",,,"2020-11-13 14:15:49.725757"
"343","(950) 530 3777","2323","1",,,"2020-11-13 14:15:49.733422"
"347","(950) 568 8755","2326","1",,,"2020-11-13 14:15:49.753168"
"352","(950) 542 5945","2329","1",,,"2020-11-13 14:15:49.779978"
"353","(950) 005 0475","2325","1",,,"2020-11-13 14:15:49.791926"
"356","(950) 058 9825","2327","1",,,"2020-11-13 14:15:49.801493"
"357","(950) 742 3375","2322","1",,,"2020-11-13 14:15:49.812561"
"360","(950) 688 8443","2323","1",,,"2020-11-13 14:15:49.822088"
"364","(950) 536 4007","2322","1",,,"2020-11-13 14:15:49.841932"
"365","(950) 081 1701","2327","1",,,"2020-11-13 14:15:49.856229"
"368","(950) 844 2395","2328","1",,,"2020-11-13 14:15:49.860990"
"372","(950) 414 5901","2328","1",,,"2020-11-13 14:15:49.884467"
"373","(950) 777 6751","2325","1",,,"2020-11-13 14:15:49.900379"
"379","(950) 240 5272","2326","1",,,"2020-11-13 14:15:49.922274"
"380","(950) 846 2318","2326","1",,,"2020-11-13 14:15:49.932153"
"381","(950) 906 3052","2328","1",,,"2020-11-13 14:15:49.944036"
"381","(950) 667 2511","2324",,,,"2020-11-13 14:15:49.944673"
"384","(950) 063 5021","2326","1",,,"2020-11-13 14:15:49.957540"
"387","(950) 287 4679","2324","1",,,"2020-11-13 14:15:49.968679"
"390","(950) 000 3217","2328","1",,,"2020-11-13 14:15:49.988613"
"393","(950) 400 1203","2328","1",,,"2020-11-13 14:15:50.012276"
"397","(950) 225 4602","2326","1",,,"2020-11-13 14:15:50.033214"
"402","(950) 722 9050","2322",,,,"2020-11-13 14:15:50.054957"
"402","(950) 650 1484","2326","1",,,"2020-11-13 14:15:50.055501"
"407","(950) 935 2914","2323","1",,,"2020-11-13 14:15:50.079123"
"408","(950) 612 4122","2323","1",,,"2020-11-13 14:15:50.098672"
"413","(950) 564 2270","2322","1",,,"2020-11-13 14:15:50.121282"
"415","(950) 847 3530","2323","1",,,"2020-11-13 14:15:50.126260"
"415","(950) 094 1243","2327",,,,"2020-11-13 14:15:50.126848"
"417","(950) 787 8543","2329","1",,,"2020-11-13 14:15:50.141615"
"423","(950) 536 2809","2329","1",,,"2020-11-13 14:15:50.169613"
"428","(950) 203 9511","2324","1",,,"2020-11-13 14:15:50.199657"
"434","(950) 688 3538","2328","1",,,"2020-11-13 14:15:50.228146"
"437","(950) 281 9093","2327","1",,,"2020-11-13 14:15:50.248035"
"437","(950) 491 2262","2328",,,,"2020-11-13 14:15:50.248773"
"439","(950) 213 8557","2328","1",,,"2020-11-13 14:15:50.268688"
"445","(950) 737 8623","2328","1",,,"2020-11-13 14:15:50.294169"
"450","(950) 774 5000","2322","1",,,"2020-11-13 14:15:50.326078"
"452","(950) 380 8826","2327","1",,,"2020-11-13 14:15:50.340959"
"454","(950) 246 2302","2328","1",,,"2020-11-13 14:15:50.355046"
"456","(950) 822 7767","2322","1",,,"2020-11-13 14:15:50.362107"
"456","(950) 925 9568","2329",,,,"2020-11-13 14:15:50.363116"
"463","(950) 921 3019","2324","1",,,"2020-11-13 14:15:50.400023"
"464","(950) 540 7231","2323",,,,"2020-11-13 14:15:50.407563"
"464","(950) 332 9780","2327","1",,,"2020-11-13 14:15:50.408147"
"467","(950) 887 4111","2324","1",,,"2020-11-13 14:15:50.422611"
"471","(950) 110 9077","2329",,,,"2020-11-13 14:15:50.447579"
"471","(950) 625 9909","2324","1",,,"2020-11-13 14:15:50.448206"
"474","(950) 715 6869","2329",,,,"2020-11-13 14:15:50.464742"
"474","(950) 967 6420","2325","1",,,"2020-11-13 14:15:50.465417"
"478","(950) 382 6231","2324","1",,,"2020-11-13 14:15:50.484196"
"480","(950) 889 2207","2326","1",,,"2020-11-13 14:15:50.498238"
"482","(950) 360 1164","2328","1",,,"2020-11-13 14:15:50.504306"
"483","(950) 051 6205","2322","1",,,"2020-11-13 14:15:50.512855"
"486","(950) 814 2231","2326","1",,,"2020-11-13 14:15:50.524965"
"487","(950) 633 9701","2323",,,,"2020-11-13 14:15:50.538747"
"487","(950) 846 3975","2325","1",,,"2020-11-13 14:15:50.539407"
"489","(950) 293 7696","2322","1",,,"2020-11-13 14:15:50.547723"
"493","(950) 471 1839","2325","1",,,"2020-11-13 14:15:50.567195"
"497","(950) 159 2681","2326","1",,,"2020-11-13 14:15:50.586440"
"501","(950) 708 4712","2326","1",,,"2020-11-13 14:15:50.611468"
"501","(950) 766 4398","2327",,,,"2020-11-13 14:15:50.612078"
"503","(950) 891 2796","2327","1",,,"2020-11-13 14:15:50.621589"
"503","(950) 704 2649","2325",,,,"2020-11-13 14:15:50.622127"
"505","(950) 619 3788","2329","1",,,"2020-11-13 14:15:50.636229"
"507","(950) 661 4725","2328","1",,,"2020-11-13 14:15:50.645116"
"509","(950) 768 7206","2325","1",,,"2020-11-13 14:15:50.655018"
"511","(950) 002 8328","2326","1",,,"2020-11-13 14:15:50.666985"
"513","(950) 182 8594","2328","1",,,"2020-11-13 14:15:50.675720"
"517","(950) 249 8577","2326","1",,,"2020-11-13 14:15:50.696212"
"521","(950) 256 6171","2326",,,,"2020-11-13 14:15:50.720539"
"521","(950) 435 1315","2329","1",,,"2020-11-13 14:15:50.723055"
"523","(950) 246 0261","2326","1",,,"2020-11-13 14:15:50.731487"
"526","(950) 832 6279","2326","1",,,"2020-11-13 14:15:50.745287"
"531","(950) 008 7325","2323","1",,,"2020-11-13 14:15:51.013942"
"292","(950) 837 3820","2327","1",,,"2020-11-13 14:15:49.435830"
"294","(950) 900 9067","2325","1",,,"2020-11-13 14:15:49.444532"
"296","(950) 781 4247","2326","1",,,"2020-11-13 14:15:49.455758"
"300","(950) 797 1413","2325","1",,,"2020-11-13 14:15:49.476364"
"303","(950) 013 8827","2326","1",,,"2020-11-13 14:15:49.497900"
"306","(950) 229 3588","2326","1",,,"2020-11-13 14:15:49.515026"
"312","(950) 357 4943","2325","1",,,"2020-11-13 14:15:49.550683"
"314","(950) 015 6790","2325","1",,,"2020-11-13 14:15:49.566434"
"319","(950) 880 1422","2329","1",,,"2020-11-13 14:15:49.596093"
"326","(950) 487 0889","2326","1",,,"2020-11-13 14:15:49.641592"
