electronicmailaddress,electronicmailtypedescriptorid,parentusi,primaryemailaddressindicator,donotpublishindicator,createdate
"CHarrison@example1.com","854","1379",,,"2020-11-13 14:15:57.435186"
"Guerra@example1.com","853","1382",,,"2020-11-13 14:15:57.453174"
"Terrell@example2.com","856","1395",,,"2020-11-13 14:15:57.516591"
"ATerrell@example2.com","854","1395",,,"2020-11-13 14:15:57.517229"
"HFrey@example1.com","856","1432",,,"2020-11-13 14:15:57.721933"
"Mc Daniel@example7.com","856","1441",,,"2020-11-13 14:15:57.766336"
"KLynn@example6.com","855","1469",,,"2020-11-13 14:15:57.915967"
"Braun@example1.com","854","1474",,,"2020-11-13 14:15:57.944793"
"Combs@example1.com","855","1477",,,"2020-11-13 14:15:57.956400"
"Dunn@example1.com","856","1498",,,"2020-11-13 14:15:58.075102"
"Dunn@example4.com","853","1500",,,"2020-11-13 14:15:58.076931"
"LRoy@example3.com","854","1516",,,"2020-11-13 14:15:58.166351"
"Blanchard@example4.com","855","1523",,,"2020-11-13 14:15:58.207913"
"Riley@example1.com","855","1527",,,"2020-11-13 14:15:58.230503"
"Petty@example1.com","856","1590",,,"2020-11-13 14:15:58.771806"
"MBend@example2.com","856","1605",,,"2020-11-13 14:15:58.977735"
"Bender@example2.com","855","1605",,,"2020-11-13 14:15:58.978542"
"SPrice@example7.com","856","1617",,,"2020-11-13 14:15:59.048817"
"Price@example2.com","855","1617",,,"2020-11-13 14:15:59.049501"
"ERosario@example1.com","855","1632",,,"2020-11-13 14:15:59.139530"
"MAlvarado@example1.com","855","1657",,,"2020-11-13 14:15:59.284064"
"LPonce@example7.com","856","1695",,,"2020-11-13 14:15:59.720442"
"Mark.Haney@example1.com","853","1707",,,"2020-11-13 14:15:59.788116"
"WCoffey@example7.com","856","1716",,,"2020-11-13 14:15:59.832875"
"Conley@example1.com","854","1717",,,"2020-11-13 14:15:59.835048"
"Mcclain@example6.com","854","1729",,,"2020-11-13 14:15:59.898314"
"Dennis@example4.com","854","1743",,,"2020-11-13 14:15:59.973096"
"Maddox@example1.com","856","1750",,,"2020-11-13 14:16:00.011109"
"Patricia.Bell@example1.com","854","1756",,,"2020-11-13 14:16:00.047582"
"JCastro@example2.com","856","1782",,,"2020-11-13 14:16:00.197591"
"JuanitaCastro@example2.com","854","1782",,,"2020-11-13 14:16:00.198552"
"Hector.Greene@example7.com","854","1789",,,"2020-11-13 14:16:00.230061"
"CarlaGomez@example2.com","856","1802",,,"2020-11-13 14:16:00.307865"
"Gomez@example2.com","855","1802",,,"2020-11-13 14:16:00.308643"
"Ronald.Montoya@example4.com","856","1861",,,"2020-11-13 14:16:00.611358"
