addresstypedescriptorid,city,parentusi,postalcode,stateabbreviationdescriptorid,streetnumbername,apartmentroomsuitenumber,buildingsitenumber,nameofcounty,countyfipscode,latitude,longitude,donotpublishindicator,congressionaldistrict,localedescriptorid,createdate
"90","Grand Bend","993","78834","2222","52 Nobel Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:54.781970"
"90","Grand Bend","115","78834","2222","203 Oak Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.375382"
"90","Grand Bend","118","78834","2222","86 Oak Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.395003"
"90","Grand Bend","123","78834","2222","749 Green Second Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.417272"
"90","Grand Bend","124","78834","2222","80 First St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.421582"
"90","Grand Bend","127","78834","2222","349 Oak Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.450383"
"90","Grand Bend","132","78834","2222","64 Nobel Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.473915"
"90","Grand Bend","138","78834","2222","247 White Fabien Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.518513"
"90","Grand Bend","143","78834","2222","315 Oak Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.553799"
"90","Grand Bend","150","78834","2222","90 South White Nobel St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.589501"
"90","Grand Bend","152","78834","2222","620 Old Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.596418"
"90","Grand Bend","154","78834","2222","182 White First Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.612794"
"90","Grand Bend","156","78834","2222","15 Milton Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.617641"
"90","Grand Bend","164","78834","2222","80 White Old Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.661897"
"90","Grand Bend","165","78834","2222","80 White Old Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.674015"
"90","Grand Bend","168","78834","2222","338 White Old Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.682726"
"90","Grand Bend","170","78834","2222","178 Rocky New Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.702819"
"90","Grand Bend","186","78834","2222","435 Second Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.803232"
"90","Grand Bend","189","78834","2222","13 New Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.820875"
"90","Grand Bend","203","78834","2222","65 Second Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.913796"
"90","Grand Bend","211","78834","2222","971 West Milton Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.961789"
"90","Grand Bend","215","78834","2222","11 Old Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:48.987235"
"90","Grand Bend","220","78834","2222","924 Oak Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.012877"
"94","Grand Bend","222","78834","2222","95 North Oak St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.030025"
"90","Grand Bend","226","78834","2222","52 White Clarendon Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.056251"
"94","Grand Bend","227","78834","2222","540 White Nobel Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.066870"
"94","Grand Bend","233","78834","2222","487 Green Oak Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.097883"
"90","Grand Bend","242","78834","2222","430 North Hague Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.150223"
"90","Grand Bend","245","78834","2222","737 North White Fabien Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.172290"
"94","Grand Bend","256","78834","2222","932 West Rocky Cowley Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.230658"
"90","Grand Bend","259","78834","2222","354 West Second St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.253083"
"90","Grand Bend","261","78834","2222","531 West Rocky Milton Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.259852"
"90","Grand Bend","268","78834","2222","81 Old Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.294779"
"90","Grand Bend","274","78834","2222","52 White Second St.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.329887"
"94","Grand Bend","277","78834","2222","130 Green Nobel Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.349812"
"94","Grand Bend","281","78834","2222","57 Old Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.372198"
"94","Grand Bend","284","78834","2222","304 Milton Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.390578"
"94","Grand Bend","289","78834","2222","67 First Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.415702"
"94","Grand Bend","293","78834","2222","50 Rocky Old Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.434982"
"94","Grand Bend","297","78834","2222","820 East White Oak Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.459110"
"94","Grand Bend","301","78834","2222","634 Hague Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.478779"
"94","Grand Bend","302","78834","2222","924 New Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.490114"
"94","Grand Bend","307","78834","2222","95 West Fabien Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.516347"
"90","Grand Bend","309","78834","2222","325 West Green Clarendon Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.531415"
"94","Grand Bend","311","78834","2222","604 Old Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.548314"
"90","Grand Bend","315","78834","2222","147 White Second Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.568917"
"94","Grand Bend","317","78834","2222","32 Cowley Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.585208"
"94","Grand Bend","321","78834","2222","26 Green Second Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.608954"
"90","Grand Bend","324","78834","2222","932 White Hague Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.627736"
"90","Grand Bend","333","78834","2222","589 East Rocky First Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.679885"
"94","Grand Bend","340","78834","2222","568 Green Old Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.717960"
"94","Grand Bend","342","78834","2222","815 Milton Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.727865"
"94","Grand Bend","346","78834","2222","364 First Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.746336"
"94","Grand Bend","350","78834","2222","396 Hague Way",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.766846"
"94","Grand Bend","354","78834","2222","948 White Old Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.788943"
"94","Grand Bend","358","78834","2222","866 Hague Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.812215"
"94","Grand Bend","362","78834","2222","894 Rocky Milton Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.834436"
"94","Grand Bend","367","78834","2222","75 Old Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.857438"
"90","Grand Bend","370","78834","2222","92 Old Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.876983"
"94","Grand Bend","378","78834","2222","52 New Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.921481"
"94","Grand Bend","383","78834","2222","487 West New Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.943748"
"90","Grand Bend","386","78834","2222","34 Old Drive",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.967945"
"90","Grand Bend","391","78834","2222","25 East New Road",,,"WILLISTON",,,,,,,"2020-11-13 14:15:49.988208"
"90","Grand Bend","392","78834","2222","478 Hague Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.002270"
"94","Grand Bend","395","78834","2222","89 Hague Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.012913"
"90","Grand Bend","399","78834","2222","25 White Second Blvd.",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.033497"
"94","Grand Bend","400","78834","2222","95 North Rocky Fabien Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.047431"
"90","Grand Bend","403","78834","2222","328 Old Freeway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.056409"
"94","Grand Bend","404","78834","2222","362 Rocky Oak Street",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.068519"
"94","Grand Bend","406","78834","2222","120 White Oak Avenue",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.074264"
"94","Grand Bend","411","78834","2222","44 First Parkway",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.099526"
"94","Grand Bend","414","78834","2222","434 Oak Boulevard",,,"WILLISTON",,,,,,,"2020-11-13 14:15:50.122921"
