assigningorganizationidentificationcode,educationorganizationid,studentidentificationsystemdescriptorid,studentusi,identificationcode,createdate
"SSN","255901","2253","28","2786237404","2020-11-13 14:17:28.703591"
"Local","255901","2249","30","848","2020-11-13 14:17:28.705098"
"SSN","255901","2253","30","4501233218","2020-11-13 14:17:28.705578"
"Local","255901","2249","29","850","2020-11-13 14:17:28.712259"
"SSN","255901","2253","29","1640982091","2020-11-13 14:17:28.712700"
"Local","255901","2249","32","852","2020-11-13 14:17:28.725023"
"Local","255901","2249","31","851","2020-11-13 14:17:28.725040"
"SSN","255901","2253","32","7916708411","2020-11-13 14:17:28.725442"
"SSN","255901","2253","31","4001022139","2020-11-13 14:17:28.725419"
"Local","255901","2249","33","853","2020-11-13 14:17:28.728757"
"SSN","255901","2253","33","9362470552","2020-11-13 14:17:28.729214"
"Local","255901","2249","34","854","2020-11-13 14:17:28.740477"
"SSN","255901","2253","34","3496035757","2020-11-13 14:17:28.740901"
"Local","255901","2249","35","855","2020-11-13 14:17:28.746494"
"SSN","255901","2253","35","2687502425","2020-11-13 14:17:28.746916"
"Local","255901","2249","36","856","2020-11-13 14:17:28.748726"
"SSN","255901","2253","36","4781300541","2020-11-13 14:17:28.749388"
"Local","255901","2249","37","857","2020-11-13 14:17:28.758115"
"SSN","255901","2253","37","7362262527","2020-11-13 14:17:28.759383"
"Local","255901","2249","38","858","2020-11-13 14:17:28.768541"
"SSN","255901","2253","38","9330660466","2020-11-13 14:17:28.769003"
"Local","255901","2249","39","859","2020-11-13 14:17:28.772762"
"SSN","255901","2253","39","1723171425","2020-11-13 14:17:28.773678"
"Local","255901","2249","40","860","2020-11-13 14:17:28.775973"
"SSN","255901","2253","40","3098278921","2020-11-13 14:17:28.776418"
"Local","255901","2249","41","861","2020-11-13 14:17:28.784001"
"SSN","255901","2253","41","9097738171","2020-11-13 14:17:28.786158"
"Local","255901","2249","42","862","2020-11-13 14:17:28.791235"
"SSN","255901","2253","42","8498542934","2020-11-13 14:17:28.791689"
"Local","255901","2249","44","864","2020-11-13 14:17:28.800221"
"Local","255901","2249","43","863","2020-11-13 14:17:28.800335"
"SSN","255901","2253","44","5113127201","2020-11-13 14:17:28.800660"
"SSN","255901","2253","43","6341664551","2020-11-13 14:17:28.800806"
"Local","255901","2249","45","865","2020-11-13 14:17:28.817924"
"SSN","255901","2253","45","2537997323","2020-11-13 14:17:28.818373"
"Local","255901","2249","46","866","2020-11-13 14:17:28.822818"
"SSN","255901","2253","46","4633089686","2020-11-13 14:17:28.823254"
"Local","255901","2249","47","867","2020-11-13 14:17:28.829554"
"SSN","255901","2253","47","4934780734","2020-11-13 14:17:28.830075"
"Local","255901","2249","48","868","2020-11-13 14:17:28.831778"
"SSN","255901","2253","48","1388513809","2020-11-13 14:17:28.832289"
"Local","255901","2249","49","869","2020-11-13 14:17:28.843000"
"SSN","255901","2253","49","5512324638","2020-11-13 14:17:28.844360"
"Local","255901","2249","50","870","2020-11-13 14:17:28.848244"
"SSN","255901","2253","50","8506415299","2020-11-13 14:17:28.848729"
"Local","255901","2249","52","871","2020-11-13 14:17:28.855648"
"SSN","255901","2253","52","4547578347","2020-11-13 14:17:28.856131"
"Local","255901","2249","51","872","2020-11-13 14:17:28.858677"
"SSN","255901","2253","51","6464932274","2020-11-13 14:17:28.859199"
"Local","255901","2249","53","873","2020-11-13 14:17:28.870365"
"SSN","255901","2253","53","8647450135","2020-11-13 14:17:28.870821"
"Local","255901","2249","54","874","2020-11-13 14:17:28.874083"
"SSN","255901","2253","54","3908165689","2020-11-13 14:17:28.874511"
"Local","255901","2249","55","875","2020-11-13 14:17:28.882487"
"SSN","255901","2253","55","6011216753","2020-11-13 14:17:28.883131"
"Local","255901","2249","56","876","2020-11-13 14:17:28.886896"
"SSN","255901","2253","56","9345625116","2020-11-13 14:17:28.887766"
"Local","255901","2249","57","877","2020-11-13 14:17:28.898811"
"SSN","255901","2253","57","3364159062","2020-11-13 14:17:28.899250"
"Local","255901","2249","58","878","2020-11-13 14:17:28.902673"
"SSN","255901","2253","58","4303094037","2020-11-13 14:17:28.903266"
"Local","255901","2249","59","879","2020-11-13 14:17:28.910060"
"SSN","255901","2253","59","3955893078","2020-11-13 14:17:28.911276"
"Local","255901","2249","60","880","2020-11-13 14:17:28.915419"
"SSN","255901","2253","60","8844255275","2020-11-13 14:17:28.915877"
"Local","255901","2249","61","881","2020-11-13 14:17:28.928702"
"SSN","255901","2253","61","2302895421","2020-11-13 14:17:28.929271"
"Local","255901","2249","62","882","2020-11-13 14:17:28.934352"
"SSN","255901","2253","62","1472362991","2020-11-13 14:17:28.934767"
"Local","255901","2249","63","883","2020-11-13 14:17:28.938616"
"SSN","255901","2253","63","1721045146","2020-11-13 14:17:28.939111"
"Local","255901","2249","64","884","2020-11-13 14:17:28.942273"
"SSN","255901","2253","64","8443224607","2020-11-13 14:17:28.942827"
"Local","255901","2249","68","888","2020-11-13 14:17:28.972314"
"SSN","255901","2253","68","7805205568","2020-11-13 14:17:28.972748"
"Local","255901","2249","70","890","2020-11-13 14:17:28.989834"
"SSN","255901","2253","70","9164600323","2020-11-13 14:17:28.990385"
"Local","255901","2249","72","892","2020-11-13 14:17:29.012288"
"SSN","255901","2253","72","6152066755","2020-11-13 14:17:29.012715"
"Local","255901","2249","79","897","2020-11-13 14:17:29.033921"
"SSN","255901","2253","79","2389608372","2020-11-13 14:17:29.034417"
"Local","255901","2249","80","900","2020-11-13 14:17:29.057498"
"SSN","255901","2253","80","9023919699","2020-11-13 14:17:29.057989"
"Local","255901","2249","83","903","2020-11-13 14:17:29.076408"
"SSN","255901","2253","83","7260975125","2020-11-13 14:17:29.076831"
"Local","255901","2249","87","907","2020-11-13 14:17:29.110320"
"SSN","255901","2253","87","7224832557","2020-11-13 14:17:29.110781"
"Local","255901","2249","89","909","2020-11-13 14:17:29.123492"
"SSN","255901","2253","89","6880605541","2020-11-13 14:17:29.123958"
"Local","255901","2249","93","913","2020-11-13 14:17:29.150503"
"SSN","255901","2253","93","6454601484","2020-11-13 14:17:29.150929"
"Local","255901","2249","96","916","2020-11-13 14:17:29.168451"
"SSN","255901","2253","96","7320545213","2020-11-13 14:17:29.168935"
"Local","255901","2249","98","918","2020-11-13 14:17:29.176878"
"SSN","255901","2253","98","3176574129","2020-11-13 14:17:29.177311"
"Local","255901","2249","101","921","2020-11-13 14:17:29.197881"
"SSN","255901","2253","101","2738427539","2020-11-13 14:17:29.198418"
"Local","255901","2249","103","923","2020-11-13 14:17:29.215517"
"SSN","255901","2253","103","6507465958","2020-11-13 14:17:29.215935"
"Local","255901","2249","107","927","2020-11-13 14:17:29.244856"
"SSN","255901","2253","107","5108791978","2020-11-13 14:17:29.245257"
"Local","255901","2249","110","930","2020-11-13 14:17:29.272360"
"SSN","255901","2253","110","9904489469","2020-11-13 14:17:29.272813"
"Local","255901","2249","116","936","2020-11-13 14:17:29.305430"
"SSN","255901","2253","116","2562741960","2020-11-13 14:17:29.305951"
"Local","255901","2249","118","938","2020-11-13 14:17:29.326724"
"SSN","255901","2253","118","5586188051","2020-11-13 14:17:29.328104"
"Local","255901","2249","123","943","2020-11-13 14:17:29.354088"
"SSN","255901","2253","123","3557834867","2020-11-13 14:17:29.354587"
"Local","255901","2249","127","947","2020-11-13 14:17:29.382593"
"SSN","255901","2253","127","5261102641","2020-11-13 14:17:29.383086"
"Local","255901","2249","131","951","2020-11-13 14:17:29.408623"
"SSN","255901","2253","131","8068269189","2020-11-13 14:17:29.409069"
"Local","255901","2249","140","960","2020-11-13 14:17:29.466642"
"SSN","255901","2253","140","2250690271","2020-11-13 14:17:29.467070"
"Local","255901","2249","142","962","2020-11-13 14:17:29.482939"
"SSN","255901","2253","142","4895376376","2020-11-13 14:17:29.483382"
"Local","255901","2249","144","964","2020-11-13 14:17:29.497220"
"SSN","255901","2253","144","1160009028","2020-11-13 14:17:29.497672"
"Local","255901","2249","148","968","2020-11-13 14:17:29.522405"
"SSN","255901","2253","148","6742331843","2020-11-13 14:17:29.522897"
"Local","255901","2249","151","971","2020-11-13 14:17:29.540199"
"SSN","255901","2253","151","6313829558","2020-11-13 14:17:29.540618"
"Local","255901","2249","153","973","2020-11-13 14:17:29.559625"
"SSN","255901","2253","153","9261060415","2020-11-13 14:17:29.560114"
"Local","255901","2249","157","977","2020-11-13 14:17:29.585464"
"SSN","255901","2253","157","9954385874","2020-11-13 14:17:29.586447"
"Local","255901","2249","161","981","2020-11-13 14:17:29.607827"
"SSN","255901","2253","161","8783184771","2020-11-13 14:17:29.608306"
"Local","255901","2249","165","985","2020-11-13 14:17:29.856445"
"SSN","255901","2253","165","9302995269","2020-11-13 14:17:29.856979"
"Local","255901","2249","169","989","2020-11-13 14:17:29.889993"
"SSN","255901","2253","169","4679346120","2020-11-13 14:17:29.890447"
"Local","255901","2249","172","992","2020-11-13 14:17:29.912772"
"SSN","255901","2253","172","6125222490","2020-11-13 14:17:29.913301"
"Local","255901","2249","174","995","2020-11-13 14:17:29.931171"
"SSN","255901","2253","174","5722269963","2020-11-13 14:17:29.931668"
"Local","255901","2249","176","996","2020-11-13 14:17:29.939790"
"SSN","255901","2253","176","8938532069","2020-11-13 14:17:29.940417"
"Local","255901","2249","178","999","2020-11-13 14:17:29.954254"
"SSN","255901","2253","178","1945131403","2020-11-13 14:17:29.954784"
"Local","255901","2249","182","002","2020-11-13 14:17:29.977701"
"SSN","255901","2253","182","7115806837","2020-11-13 14:17:29.978203"
"Local","255901","2249","180","000","2020-11-13 14:17:29.995368"
"SSN","255901","2253","180","7358520049","2020-11-13 14:17:29.997368"
"Local","255901","2249","187","006","2020-11-13 14:17:30.040954"
"SSN","255901","2253","187","7263563835","2020-11-13 14:17:30.041378"
"Local","255901","2249","188","008","2020-11-13 14:17:30.062876"
"SSN","255901","2253","188","9252342805","2020-11-13 14:17:30.063531"
"Local","255901","2249","191","011","2020-11-13 14:17:30.070402"
"SSN","255901","2253","191","6491969683","2020-11-13 14:17:30.070796"
"Local","255901","2249","195","015","2020-11-13 14:17:30.100460"
"SSN","255901","2253","195","2956032908","2020-11-13 14:17:30.100940"
"Local","255901","2249","199","019","2020-11-13 14:17:30.128052"
"SSN","255901","2253","199","4271782900","2020-11-13 14:17:30.128535"
"Local","255901","2249","200","020","2020-11-13 14:17:30.138975"
"SSN","255901","2253","200","8755019328","2020-11-13 14:17:30.139501"
"Local","255901","2249","203","023","2020-11-13 14:17:30.162965"
"SSN","255901","2253","203","8483460168","2020-11-13 14:17:30.163427"
"Local","255901","2249","205","025","2020-11-13 14:17:30.173823"
"SSN","255901","2253","205","6539848549","2020-11-13 14:17:30.174264"
"Local","255901","2249","210","030","2020-11-13 14:17:30.202739"
"SSN","255901","2253","210","2789003630","2020-11-13 14:17:30.203165"
"Local","255901","2249","211","031","2020-11-13 14:17:30.214615"
"SSN","255901","2253","211","1142948539","2020-11-13 14:17:30.215143"
"Local","255901","2249","213","033","2020-11-13 14:17:30.223483"
"SSN","255901","2253","213","6176800828","2020-11-13 14:17:30.223957"
"Local","255901","2249","218","038","2020-11-13 14:17:30.249985"
"SSN","255901","2253","218","7157213383","2020-11-13 14:17:30.251357"
"Local","255901","2249","220","040","2020-11-13 14:17:30.271664"
"SSN","255901","2253","220","3911112328","2020-11-13 14:17:30.272087"
"Local","255901","2249","223","043","2020-11-13 14:17:30.293553"
"SSN","255901","2253","223","3739971606","2020-11-13 14:17:30.294099"
"Local","255901","2249","225","045","2020-11-13 14:17:30.305323"
"SSN","255901","2253","225","7928890771","2020-11-13 14:17:30.305889"
"Local","255901","2249","227","047","2020-11-13 14:17:30.317198"
"SSN","255901","2253","227","6901801477","2020-11-13 14:17:30.317683"
"Local","255901","2249","229","049","2020-11-13 14:17:30.329298"
"SSN","255901","2253","229","7019529916","2020-11-13 14:17:30.329769"
"Local","255901","2249","231","051","2020-11-13 14:17:30.342275"
"SSN","255901","2253","231","4954707854","2020-11-13 14:17:30.342736"
"Local","255901","2249","233","053","2020-11-13 14:17:30.354685"
"SSN","255901","2253","233","8865354350","2020-11-13 14:17:30.355139"
"Local","255901","2249","236","057","2020-11-13 14:17:30.382425"
"SSN","255901","2253","236","9776485541","2020-11-13 14:17:30.382830"
"Local","255901","2249","239","059","2020-11-13 14:17:30.392588"
"SSN","255901","2253","239","9618397458","2020-11-13 14:17:30.393100"
"Local","255901","2249","243","062","2020-11-13 14:17:30.418825"
"SSN","255901","2253","243","6403607109","2020-11-13 14:17:30.419345"
"Local","255901","2249","246","065","2020-11-13 14:17:30.439814"
"SSN","255901","2253","246","1773827653","2020-11-13 14:17:30.440325"
"Local","255901","2249","247","067","2020-11-13 14:17:30.446841"
"SSN","255901","2253","247","6719964808","2020-11-13 14:17:30.447281"
"Local","255901","2249","250","070","2020-11-13 14:17:30.470269"
"SSN","255901","2253","250","2029768101","2020-11-13 14:17:30.470898"
"Local","255901","2249","253","073","2020-11-13 14:17:30.508188"
"SSN","255901","2253","253","9253507986","2020-11-13 14:17:30.508584"
"Local","255901","2249","257","077","2020-11-13 14:17:30.532280"
"SSN","255901","2253","257","4066218147","2020-11-13 14:17:30.532808"
"Local","255901","2249","65","885","2020-11-13 14:17:28.963156"
"SSN","255901","2253","65","9057780294","2020-11-13 14:17:28.963609"
"Local","255901","2249","66","887","2020-11-13 14:17:28.975641"
"SSN","255901","2253","66","2862915968","2020-11-13 14:17:28.976138"
"Local","255901","2249","71","891","2020-11-13 14:17:28.998848"
"SSN","255901","2253","71","6023814409","2020-11-13 14:17:28.999299"
"Local","255901","2249","73","893","2020-11-13 14:17:29.011383"
"SSN","255901","2253","73","7333244475","2020-11-13 14:17:29.011828"
"Local","255901","2249","77","896","2020-11-13 14:17:29.033984"
"SSN","255901","2253","77","1319751689","2020-11-13 14:17:29.034429"
"Local","255901","2249","78","899","2020-11-13 14:17:29.050414"
"SSN","255901","2253","78","9620668473","2020-11-13 14:17:29.051320"
"Local","255901","2249","81","901","2020-11-13 14:17:29.070752"
"SSN","255901","2253","81","8899806355","2020-11-13 14:17:29.071239"
"Local","255901","2249","84","904","2020-11-13 14:17:29.084142"
"SSN","255901","2253","84","2066117219","2020-11-13 14:17:29.084640"
"Local","255901","2249","85","905","2020-11-13 14:17:29.099400"
"SSN","255901","2253","85","3825478724","2020-11-13 14:17:29.099929"
"Local","255901","2249","88","908","2020-11-13 14:17:29.116115"
"SSN","255901","2253","88","9833277117","2020-11-13 14:17:29.116583"
"Local","255901","2249","91","911","2020-11-13 14:17:29.135791"
"SSN","255901","2253","91","6021916834","2020-11-13 14:17:29.136282"
"Local","255901","2249","94","914","2020-11-13 14:17:29.150159"
"SSN","255901","2253","94","1630418885","2020-11-13 14:17:29.150579"
"Local","255901","2249","95","915","2020-11-13 14:17:29.164219"
"SSN","255901","2253","95","5941176309","2020-11-13 14:17:29.164743"
"Local","255901","2249","97","917","2020-11-13 14:17:29.174518"
"SSN","255901","2253","97","7212408971","2020-11-13 14:17:29.174953"
"Local","255901","2249","100","920","2020-11-13 14:17:29.194520"
"SSN","255901","2253","100","1746035403","2020-11-13 14:17:29.194927"
"Local","255901","2249","105","925","2020-11-13 14:17:29.219955"
"SSN","255901","2253","105","6955665473","2020-11-13 14:17:29.220385"
"Local","255901","2249","102","922","2020-11-13 14:17:29.231788"
"SSN","255901","2253","102","4811560680","2020-11-13 14:17:29.232229"
"Local","255901","2249","108","928","2020-11-13 14:17:29.245190"
"SSN","255901","2253","108","3351592736","2020-11-13 14:17:29.250448"
"Local","255901","2249","111","931","2020-11-13 14:17:29.273661"
"SSN","255901","2253","111","8893504818","2020-11-13 14:17:29.274185"
"Local","255901","2249","114","934","2020-11-13 14:17:29.301399"
"SSN","255901","2253","114","8063545272","2020-11-13 14:17:29.301871"
"Local","255901","2249","117","937","2020-11-13 14:17:29.322160"
"SSN","255901","2253","117","9055818459","2020-11-13 14:17:29.322647"
"Local","255901","2249","120","940","2020-11-13 14:17:29.333468"
"SSN","255901","2253","120","4224658200","2020-11-13 14:17:29.333883"
"Local","255901","2249","124","944","2020-11-13 14:17:29.359350"
"SSN","255901","2253","124","9157954758","2020-11-13 14:17:29.359765"
"Local","255901","2249","128","948","2020-11-13 14:17:29.387858"
"SSN","255901","2253","128","1139458822","2020-11-13 14:17:29.388356"
"Local","255901","2249","130","950","2020-11-13 14:17:29.404713"
"SSN","255901","2253","130","3488119368","2020-11-13 14:17:29.406232"
"Local","255901","2249","132","952","2020-11-13 14:17:29.412793"
"SSN","255901","2253","132","6811380849","2020-11-13 14:17:29.413414"
"Local","255901","2249","134","954","2020-11-13 14:17:29.430547"
"SSN","255901","2253","134","6066674455","2020-11-13 14:17:29.430969"
"Local","255901","2249","136","956","2020-11-13 14:17:29.439363"
"SSN","255901","2253","136","5146442927","2020-11-13 14:17:29.439737"
"Local","255901","2249","138","958","2020-11-13 14:17:29.457665"
"SSN","255901","2253","138","3931083605","2020-11-13 14:17:29.458074"
"Local","255901","2249","141","961","2020-11-13 14:17:29.476813"
"SSN","255901","2253","141","2899572693","2020-11-13 14:17:29.477300"
"Local","255901","2249","145","965","2020-11-13 14:17:29.506051"
"SSN","255901","2253","145","3231100511","2020-11-13 14:17:29.506499"
"Local","255901","2249","147","967","2020-11-13 14:17:29.515125"
"SSN","255901","2253","147","8709948298","2020-11-13 14:17:29.515564"
"Local","255901","2249","149","969","2020-11-13 14:17:29.533683"
"SSN","255901","2253","149","1850680628","2020-11-13 14:17:29.534154"
"Local","255901","2249","152","972","2020-11-13 14:17:29.549152"
"SSN","255901","2253","152","4938366245","2020-11-13 14:17:29.549590"
"Local","255901","2249","154","974","2020-11-13 14:17:29.561277"
"SSN","255901","2253","154","9811217628","2020-11-13 14:17:29.561714"
"Local","255901","2249","156","976","2020-11-13 14:17:29.574873"
"SSN","255901","2253","156","2784629124","2020-11-13 14:17:29.575335"
"Local","255901","2249","158","978","2020-11-13 14:17:29.585417"
"SSN","255901","2253","158","1909707870","2020-11-13 14:17:29.585924"
"Local","255901","2249","162","982","2020-11-13 14:17:29.612225"
"SSN","255901","2253","162","2106676647","2020-11-13 14:17:29.612896"
"Local","255901","2249","164","984","2020-11-13 14:17:29.856919"
"SSN","255901","2253","164","9751987321","2020-11-13 14:17:29.857409"
"Local","255901","2249","167","987","2020-11-13 14:17:29.883421"
"SSN","255901","2253","167","3824167762","2020-11-13 14:17:29.883972"
"Local","255901","2249","171","991","2020-11-13 14:17:29.907435"
"SSN","255901","2253","171","3403674633","2020-11-13 14:17:29.907968"
"Local","255901","2249","173","993","2020-11-13 14:17:29.915693"
"SSN","255901","2253","173","5901958411","2020-11-13 14:17:29.916197"
"Local","255901","2249","179","998","2020-11-13 14:17:29.946826"
"SSN","255901","2253","179","1954691634","2020-11-13 14:17:29.947307"
"Local","255901","2249","177","997","2020-11-13 14:17:29.995355"
"SSN","255901","2253","177","5085461446","2020-11-13 14:17:29.996618"
"Local","255901","2249","184","004","2020-11-13 14:17:30.041338"
"SSN","255901","2253","184","2859849154","2020-11-13 14:17:30.041749"
"Local","255901","2249","189","009","2020-11-13 14:17:30.063685"
"SSN","255901","2253","189","2424871829","2020-11-13 14:17:30.064277"
"Local","255901","2249","192","012","2020-11-13 14:17:30.090951"
"SSN","255901","2253","192","8459144582","2020-11-13 14:17:30.091404"
"Local","255901","2249","196","016","2020-11-13 14:17:30.114837"
"SSN","255901","2253","196","8634331249","2020-11-13 14:17:30.115408"
"Local","255901","2249","201","021","2020-11-13 14:17:30.149847"
"SSN","255901","2253","201","2943815634","2020-11-13 14:17:30.150334"
"Local","255901","2249","206","026","2020-11-13 14:17:30.176511"
"SSN","255901","2253","206","3875470504","2020-11-13 14:17:30.176927"
"Local","255901","2249","209","029","2020-11-13 14:17:30.200058"
"SSN","255901","2253","209","3460744466","2020-11-13 14:17:30.200450"
"Local","255901","2249","212","032","2020-11-13 14:17:30.217258"
"SSN","255901","2253","212","1896891691","2020-11-13 14:17:30.217749"
"Local","255901","2249","214","034","2020-11-13 14:17:30.226520"
"SSN","255901","2253","214","1827814497","2020-11-13 14:17:30.226967"
"Local","255901","2249","217","037","2020-11-13 14:17:30.247094"
"SSN","255901","2253","217","6409045417","2020-11-13 14:17:30.247482"
"Local","255901","2249","219","039","2020-11-13 14:17:30.265266"
"SSN","255901","2253","219","8092823166","2020-11-13 14:17:30.265702"
"Local","255901","2249","222","042","2020-11-13 14:17:30.274487"
"SSN","255901","2253","222","6271474424","2020-11-13 14:17:30.274920"
"Local","255901","2249","224","044","2020-11-13 14:17:30.296899"
"SSN","255901","2253","224","1843542492","2020-11-13 14:17:30.297358"
"Local","255901","2249","226","046","2020-11-13 14:17:30.306198"
"SSN","255901","2253","226","7869987170","2020-11-13 14:17:30.306636"
"Local","255901","2249","230","050","2020-11-13 14:17:30.331776"
"SSN","255901","2253","230","9255634354","2020-11-13 14:17:30.332292"
"Local","255901","2249","232","052","2020-11-13 14:17:30.344141"
"SSN","255901","2253","232","8657507729","2020-11-13 14:17:30.344640"
"Local","255901","2249","235","055","2020-11-13 14:17:30.366792"
"SSN","255901","2253","235","7917877464","2020-11-13 14:17:30.367312"
"Local","255901","2249","238","058","2020-11-13 14:17:30.387812"
"SSN","255901","2253","238","8497866228","2020-11-13 14:17:30.388313"
"Local","255901","2249","240","060","2020-11-13 14:17:30.399593"
"SSN","255901","2253","240","9017055582","2020-11-13 14:17:30.400042"
"Local","255901","2249","241","061","2020-11-13 14:17:30.410397"
"Local","255901","2249","67","886","2020-11-13 14:17:28.963935"
"SSN","255901","2253","67","9851524339","2020-11-13 14:17:28.964495"
"Local","255901","2249","92","912","2020-11-13 14:17:29.143853"
"SSN","255901","2253","92","3134023987","2020-11-13 14:17:29.144269"
"Local","255901","2249","106","926","2020-11-13 14:17:29.242835"
"SSN","255901","2253","106","4789593353","2020-11-13 14:17:29.243313"
"Local","255901","2249","113","933","2020-11-13 14:17:29.298369"
"SSN","255901","2253","113","9384908199","2020-11-13 14:17:29.298867"
"Local","255901","2249","126","946","2020-11-13 14:17:29.381930"
"SSN","255901","2253","126","8058864531","2020-11-13 14:17:29.382386"
"Local","255901","2249","139","959","2020-11-13 14:17:29.458698"
"SSN","255901","2253","139","8600057017","2020-11-13 14:17:29.459171"
"Local","255901","2249","143","963","2020-11-13 14:17:29.484942"
"SSN","255901","2253","143","1234980619","2020-11-13 14:17:29.485381"
"Local","255901","2249","160","980","2020-11-13 14:17:29.604836"
"SSN","255901","2253","160","3918375690","2020-11-13 14:17:29.605532"
"Local","255901","2249","166","986","2020-11-13 14:17:29.860910"
"SSN","255901","2253","166","4306684537","2020-11-13 14:17:29.861571"
"Local","255901","2249","168","988","2020-11-13 14:17:29.882511"
"SSN","255901","2253","168","1548872133","2020-11-13 14:17:29.883050"
"Local","255901","2249","183","003","2020-11-13 14:17:30.002154"
"SSN","255901","2253","183","9030639957","2020-11-13 14:17:30.002572"
"Local","255901","2249","185","005","2020-11-13 14:17:30.039286"
"SSN","255901","2253","185","5157567804","2020-11-13 14:17:30.039689"
"Local","255901","2249","190","010","2020-11-13 14:17:30.070218"
"SSN","255901","2253","190","5269130359","2020-11-13 14:17:30.070651"
"Local","255901","2249","193","013","2020-11-13 14:17:30.091082"
"SSN","255901","2253","193","9050956649","2020-11-13 14:17:30.091501"
"Local","255901","2249","198","018","2020-11-13 14:17:30.120977"
"SSN","255901","2253","198","5293393436","2020-11-13 14:17:30.121451"
"Local","255901","2249","208","028","2020-11-13 14:17:30.192433"
"SSN","255901","2253","208","6102558766","2020-11-13 14:17:30.192964"
"Local","255901","2249","216","036","2020-11-13 14:17:30.245096"
"SSN","255901","2253","216","1200258447","2020-11-13 14:17:30.245537"
"Local","255901","2249","287","107","2020-11-13 14:17:30.737058"
"SSN","255901","2253","287","1579815534","2020-11-13 14:17:30.737620"
"Local","255901","2249","302","122","2020-11-13 14:17:30.837199"
"SSN","255901","2253","302","7539535162","2020-11-13 14:17:30.837746"
"Local","255901","2249","321","141","2020-11-13 14:17:30.963840"
"SSN","255901","2253","321","4964601605","2020-11-13 14:17:30.964241"
