addresstypedescriptorid,city,educationorganizationid,postalcode,stateabbreviationdescriptorid,streetnumbername,studentusi,apartmentroomsuitenumber,buildingsitenumber,nameofcounty,countyfipscode,latitude,longitude,donotpublishindicator,congressionaldistrict,localedescriptorid,createdate
"90","Grand Bend","255901","78834","2222","67 White Hague Avenue","44",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.798570"
"90","Grand Bend","255901","78834","2222","109 First Boulevard","45",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.816548"
"90","Grand Bend","255901","78834","2222","156 South White First Way","46",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.820826"
"90","Grand Bend","255901","78834","2222","590 Old Freeway","47",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.828343"
"90","Grand Bend","255901","78834","2222","69 Oak Way","50",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.845882"
"90","Grand Bend","255901","78834","2222","83 Nobel Street","51",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.855997"
"90","Grand Bend","255901","78834","2222","329 Oak Freeway","53",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.869168"
"90","Grand Bend","255901","78834","2222","805 White Second Street","55",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.879937"
"90","Grand Bend","255901","78834","2222","455 Milton Way","58",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.900304"
"90","Grand Bend","255901","78834","2222","345 North Green Cowley Avenue","60",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.912434"
"90","Grand Bend","255901","78834","2222","27 Oak St.","62",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.931480"
"90","Grand Bend","255901","78834","2222","984 South Rocky Second Avenue","64",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.940935"
"90","Grand Bend","255901","78834","2222","758 Milton Boulevard","67",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.962746"
"90","Grand Bend","255901","78834","2222","16 Green Hague Way","68",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.970960"
"90","Grand Bend","255901","78834","2222","459 Nobel Way","69",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.986313"
"90","Grand Bend","255901","78834","2222","84 Rocky Nobel Drive","70",,,"WILLISTON",,,,,,,"2020-11-13 14:17:28.988620"
"90","Grand Bend","255901","78834","2222","203 Oak Boulevard","72",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.009996"
"90","Grand Bend","255901","78834","2222","11 East New Drive","74",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.011775"
"90","Grand Bend","255901","78834","2222","86 Oak Parkway","75",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.025465"
"90","Grand Bend","255901","78834","2222","489 Fabien Boulevard","79",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.032744"
"90","Grand Bend","255901","78834","2222","749 Green Second Parkway","76",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.039480"
"90","Grand Bend","255901","78834","2222","834 Second Avenue","80",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.056292"
"90","Grand Bend","255901","78834","2222","82 Green New Avenue","82",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.069350"
"90","Grand Bend","255901","78834","2222","25 North Clarendon Boulevard","83",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.073934"
"90","Grand Bend","255901","78834","2222","75 Rocky Fabien Blvd.","86",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.099844"
"90","Grand Bend","255901","78834","2222","247 White Fabien Road","87",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.108008"
"90","Grand Bend","255901","78834","2222","97 Clarendon Drive","89",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.122172"
"90","Grand Bend","255901","78834","2222","315 Oak Drive","90",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.124245"
"90","Grand Bend","255901","78834","2222","769 Green Fabien Road","92",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.140929"
"90","Grand Bend","255901","78834","2222","37 Rocky Fabien Boulevard","93",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.147845"
"90","Grand Bend","255901","78834","2222","182 White First Blvd.","96",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.167073"
"90","Grand Bend","255901","78834","2222","943 Rocky Oak Parkway","98",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.174570"
"90","Grand Bend","255901","78834","2222","581 New Way","99",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.189341"
"90","Grand Bend","255901","78834","2222","55 West White Milton Parkway","101",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.196626"
"90","Grand Bend","255901","78834","2222","28 Nobel Avenue","103",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.214231"
"90","Grand Bend","255901","78834","2222","338 White Old Parkway","104",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.217884"
"90","Grand Bend","255901","78834","2222","59 North Cowley Road","106",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.237258"
"90","Grand Bend","255901","78834","2222","830 North Green First Freeway","107",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.242846"
"90","Grand Bend","255901","78834","2222","65 Cowley Parkway","109",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.267965"
"94","Grand Bend","255901","78834","2222","293 Rocky Cowley Way","110",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.271054"
"90","Grand Bend","255901","78834","2222","697 Milton St.","112",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.274850"
"90","Grand Bend","255901","78834","2222","13 New Boulevard","115",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.298347"
"90","Grand Bend","255901","78834","2222","547 North Cowley Blvd.","119",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.327443"
"90","Grand Bend","255901","78834","2222","388 Clarendon Boulevard","121",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.344163"
"90","Grand Bend","255901","78834","2222","597 Green Cowley Avenue","122",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.350779"
"90","Grand Bend","255901","78834","2222","952 East Second St.","125",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.373327"
"90","Grand Bend","255901","78834","2222","971 West Milton Parkway","129",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.398614"
"90","Grand Bend","255901","78834","2222","924 Oak Blvd.","133",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.422766"
"94","Grand Bend","255901","78834","2222","95 North Oak St.","135",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.429839"
"90","Grand Bend","255901","78834","2222","43 South Milton Street","137",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.446241"
"94","Grand Bend","255901","78834","2222","780 White Clarendon Avenue","146",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.508369"
"90","Grand Bend","255901","78834","2222","737 North White Fabien Road","150",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.531598"
"94","Grand Bend","255901","78834","2222","45 South Rocky Oak Road","155",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.562586"
"90","Grand Bend","255901","78834","2222","531 West Rocky Milton Way","159",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.587635"
"90","Grand Bend","255901","78834","2222","81 Old Avenue","163",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.856575"
"94","Grand Bend","255901","78834","2222","57 Old Freeway","170",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.886649"
"90","Grand Bend","255901","78834","2222","374 Fabien St.","175",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.914905"
"94","Grand Bend","255901","78834","2222","634 Hague Way","181",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.992409"
"94","Grand Bend","255901","78834","2222","604 Old Street","186",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.039190"
"94","Grand Bend","255901","78834","2222","26 Green Second Way","194",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.092606"
"90","Grand Bend","255901","78834","2222","45 Oak Blvd.","197",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.116100"
"90","Grand Bend","255901","78834","2222","49 West White Old Blvd.","202",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.148074"
"90","Grand Bend","255901","78834","2222","589 East Rocky First Street","204",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.164617"
"94","Grand Bend","255901","78834","2222","38 Old Avenue","207",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.186874"
"94","Grand Bend","255901","78834","2222","948 White Old Boulevard","215",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.238053"
"94","Grand Bend","255901","78834","2222","796 Milton Boulevard","221",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.269115"
"90","Grand Bend","255901","78834","2222","91 West White Old Freeway","228",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.319279"
"94","Grand Bend","255901","78834","2222","138 Rocky Old Blvd.","234",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.356383"
"90","Grand Bend","255901","78834","2222","34 Old Drive","237",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.369845"
"90","Grand Bend","255901","78834","2222","25 White Second Blvd.","242",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.418661"
"94","Grand Bend","255901","78834","2222","61 Green Milton Blvd.","249",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.464255"
"94","Grand Bend","255901","78834","2222","53 New Boulevard","254",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.508005"
"94","Grand Bend","255901","78834","2222","810 Hague Drive","259",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.539020"
"94","Grand Bend","255901","78834","2222","80 South Green Nobel Drive","261",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.557928"
"91","Grand Bend","255901","78834","2222","474 Rocky Nobel Avenue","272",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.614864"
"94","Grand Bend","255901","78834","2222","58 Green First Boulevard","270",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.629502"
"91","Grand Bend","255901","78834","2222","515 West Nobel Blvd.","275",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.649089"
"94","Grand Bend","255901","78834","2222","39 Hague Way","278",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.671649"
"90","Grand Bend","255901","78834","2222","680 New Way","282",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.704989"
"91","Grand Bend","255901","78834","2222","574 Clarendon Road","290",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.757140"
"90","Grand Bend","255901","78834","2222","94 South Nobel Freeway","292",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.765810"
"91","Grand Bend","255901","78834","2222","308 White First Boulevard","295",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.787009"
"90","Grand Bend","255901","78834","2222","982 North Green Second Road","318",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.935915"
"91","Grand Bend","255901","78834","2222","29 West New Avenue","319",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.953676"
"91","Grand Bend","255901","78834","2222","69 Rocky Fabien St.","326",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.991346"
"91","Grand Bend","255901","78834","2222","17 White Clarendon Boulevard","329",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.013792"
"90","Grand Bend","255901","78834","2222","58 Oak Way","334",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.037535"
"90","Grand Bend","255901","78834","2222","648 East Oak St.","345",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.111951"
"90","Grand Bend","255901","78834","2222","78 First Parkway","347",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.134550"
"91","Grand Bend","255901","78834","2222","85 West Fabien Street","351",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.158639"
"91","Grand Bend","255901","78834","2222","51 West Green First Drive","357",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.186628"
"91","Grand Bend","255901","78834","2222","31 North Cowley Road","358",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.199295"
"90","Grand Bend","255901","78834","2222","659 Rocky Oak Parkway","362",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.225050"
"91","Grand Bend","255901","78834","2222","388 White Hague Drive","364",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.233785"
"90","Grand Bend","255901","78834","2222","53 South Oak Way","367",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.255908"
"94","Grand Bend","255901","78834","2222","69 Rocky Second Way","371",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.285545"
"90","Grand Bend","255901","78834","2222","200 Rocky Nobel Street","376",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.310598"
"90","Grand Bend","255901","78834","2222","529 Fabien Street","377",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.324699"
"90","Grand Bend","255901","78834","2222","456 Green Nobel Boulevard","380",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.335258"
"91","Grand Bend","255901","78834","2222","82 Second Avenue","382",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.356585"
"91","Grand Bend","255901","78834","2222","46 Green Second Drive","386",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.390990"
"90","Grand Bend","255901","78834","2222","53 Second Parkway","390",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.416945"
"90","Grand Bend","255901","78834","2222","25 Green First St.","400",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.482114"
"90","Grand Bend","255901","78834","2222","28 East New Way","407",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.527620"
"90","Grand Bend","255901","78834","2222","92 Rocky Hague Road","408",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.539714"
"93","Grand Bend","255901","78834","2222","23 Rocky Milton Street","414",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.568299"
"93","Grand Bend","255901","78834","2222","43 Nobel Way","421",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.630855"
"90","Grand Bend","255901","78834","2222","25 White Hague St.","427",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.659521"
"93","Grand Bend","255901","78834","2222","981 East Cowley Avenue","437",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.720777"
"93","Grand Bend","255901","78834","2222","589 West Green Hague Street","440",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.742415"
"90","Grand Bend","255901","78834","2222","435 Second Blvd.","113",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.295233"
"90","Grand Bend","255901","78834","2222","54 Oak Boulevard","126",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.378773"
"94","Grand Bend","255901","78834","2222","540 White Nobel Blvd.","139",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.455071"
"90","Grand Bend","255901","78834","2222","45 Rocky Second St.","143",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.481722"
"94","Grand Bend","255901","78834","2222","756 Nobel Boulevard","160",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.602068"
"90","Grand Bend","255901","78834","2222","52 White Second St.","166",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.859350"
"90","Grand Bend","255901","78834","2222","288 Old Street","168",,,"WILLISTON",,,,,,,"2020-11-13 14:17:29.880351"
"94","Grand Bend","255901","78834","2222","932 Clarendon Avenue","183",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.000799"
"94","Grand Bend","255901","78834","2222","95 West Fabien Road","185",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.038018"
"90","Grand Bend","255901","78834","2222","87 Cowley Way","190",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.068871"
"90","Grand Bend","255901","78834","2222","17 Nobel Boulevard","193",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.088540"
"90","Grand Bend","255901","78834","2222","45 Green Second Blvd.","198",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.117727"
"94","Grand Bend","255901","78834","2222","568 Green Old Road","208",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.189709"
"90","Grand Bend","255901","78834","2222","573 North Milton Drive","216",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.242465"
"91","Grand Bend","255901","78834","2222","31 New Drive","287",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.734349"
"94","Grand Bend","255901","78834","2222","75 Green Milton Street","302",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.835875"
"91","Grand Bend","255901","78834","2222","873 Old Road","321",,,"WILLISTON",,,,,,,"2020-11-13 14:17:30.961583"
"90","Grand Bend","255901","78834","2222","215 First Parkway","353",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.161555"
"91","Grand Bend","255901","78834","2222","11 South White Second Way","359",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.206116"
"90","Grand Bend","255901","78834","2222","587 Rocky Clarendon Avenue","392",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.436534"
"90","Grand Bend","255901","78834","2222","58 New Road","396",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.460551"
"93","Grand Bend","255901","78834","2222","90 Fabien Parkway","423",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.631108"
"93","Grand Bend","255901","78834","2222","475 Rocky First Way","431",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.686139"
"90","Grand Bend","255901","78834","2222","29 West Green Cowley Way","434",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.711945"
"93","Grand Bend","255901","78834","2222","26 North Hague Way","441",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.745869"
"93","Grand Bend","255901","78834","2222","72 Green Old Blvd.","445",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.771450"
"93","Grand Bend","255901","78834","2222","58 Rocky Second Street","449",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.796598"
"93","Grand Bend","255901","78834","2222","74 South White Hague Parkway","451",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.821953"
"93","Grand Bend","255901","78834","2222","27 South Oak Street","456",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.849605"
"93","Grand Bend","255901","78834","2222","600 East Rocky Nobel Parkway","459",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.868854"
"93","Grand Bend","255901","78834","2222","418 Fabien Drive","461",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.891278"
"93","Grand Bend","255901","78834","2222","89 Rocky Oak Drive","472",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.944001"
"90","Grand Bend","255901","78834","2222","915 Oak Avenue","475",,,"WILLISTON",,,,,,,"2020-11-13 14:17:31.972554"
"93","Grand Bend","255901","78834","2222","47 South Rocky Hague Blvd.","482",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.022167"
"93","Grand Bend","255901","78834","2222","23 Fabien Road","488",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.053789"
"90","Grand Bend","255901","78834","2222","814 South Second Road","493",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.079032"
"90","Grand Bend","255901","78834","2222","35 Hague Freeway","498",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.105014"
"90","Grand Bend","255901","78834","2222","640 North Hague Way","501",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.127741"
"93","Grand Bend","255901","78834","2222","57 Rocky Milton Boulevard","504",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.153034"
"90","Grand Bend","255901","78834","2222","910 Clarendon Freeway","521",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.267074"
"93","Grand Bend","255901","78834","2222","754 South Second Boulevard","527",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.296428"
"93","Grand Bend","255901","78834","2222","75 Nobel Avenue","531",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.321219"
"93","Grand Bend","255901","78834","2222","29 Green Hague Boulevard","538",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.343996"
"90","Grand Bend","255901","78834","2222","615 Old Road","540",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.368883"
"99","Grand Bend","255901","78834","2222","30 North Milton Street","543",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.391625"
"93","Grand Bend","255901","78834","2222","911 Green Second Freeway","547",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.422799"
"99","Grand Bend","255901","78834","2222","65 Green Clarendon Freeway","556",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.493517"
"93","Grand Bend","255901","78834","2222","89 Second Avenue","562",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.539858"
"90","Grand Bend","255901","78834","2222","347 West Milton Avenue","566",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.567272"
"99","Grand Bend","255901","78834","2222","77 West Nobel Way","569",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.592546"
"99","Grand Bend","255901","78834","2222","263 New Blvd.","577",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.629627"
"99","Grand Bend","255901","78834","2222","63 Rocky Second Street","579",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.649704"
"99","Grand Bend","255901","78834","2222","15 White New Boulevard","582",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.678320"
"90","Grand Bend","255901","78834","2222","55 East Rocky Hague Freeway","608",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.833986"
"99","Grand Bend","255901","78834","2222","929 Hague Way","612",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.860937"
"93","Grand Bend","255901","78834","2222","76 New Street","616",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.887537"
"90","Grand Bend","255901","78834","2222","533 Rocky Milton Freeway","618",,,"WILLISTON",,,,,,,"2020-11-13 14:17:32.908483"
"99","Grand Bend","255901","78834","2222","63 Rocky Clarendon Drive","664",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.215279"
"99","Grand Bend","255901","78834","2222","712 Rocky Clarendon Road","671",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.246958"
"93","Grand Bend","255901","78834","2222","665 Cowley Blvd.","675",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.272369"
"99","Grand Bend","255901","78834","2222","20 West Hague Street","676",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.290472"
"99","Grand Bend","255901","78834","2222","160 Rocky Old Parkway","686",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.347863"
"85","Grand Bend","255901","78834","2222","450 North Second Avenue","691",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.374389"
"85","Grand Bend","255901","78834","2222","951 Nobel Freeway","695",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.397453"
"85","Grand Bend","255901","78834","2222","674 North New Way","699",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.419861"
"85","Grand Bend","255901","78834","2222","47 Rocky Second Boulevard","701",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.447789"
"85","Grand Bend","255901","78834","2222","923 Fabien Freeway","706",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.471826"
"85","Grand Bend","255901","78834","2222","42 Hague Parkway","711",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.499369"
"99","Grand Bend","255901","78834","2222","488 Hague Street","715",,,"WILLISTON",,,,,,,"2020-11-13 14:17:33.522945"
